PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID
Gene expression (Transcription),RNA Polymerase II Pre-transcription Events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112437"",""Formation of NELF complex "")",Yes,63,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623192"",""G6PC gene expression is stimulated by FOXO1,FOXO3,FOXO4,FOXO6"")",No,-
Gene expression (Transcription),FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9620788"",""FOXO1,FOXO3,FOXO4 binds RBL2 gene"")",Yes,64,RNA Pol II CTD phosphorylation and interaction with CE,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77073"",""SPT5 subunit of Pol II binds the RNA triphosphatase (RTP)"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),RNA Polymerase II Pre-transcription Events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112429"",""Formation of FACT complex"")",Yes,65,Notch-HLH transcription pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-350058"",""Formation of CSL NCOR corepressor complex"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007522"",""E2F6 binds APAF1 gene promoter"")",Yes,66,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938217"",""RUNX1 binds the SWI/SNF complex"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617840"",""FOXO1,FOXO3,FOXO4 bind CDKN1A gene promoter"")",Yes,67,RUNX2 regulates osteoblast differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8877922"",""BGLAP gene expression is stimulated by RUNX2, WWTR1 and RB1 and inhibited by AR, YAP1 and ZNF521"")",Yes,"[4, 10, 11, 19, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9016526"",""RUNX2-P2 binds RUNX2 gene promoter"")",Yes,68,RUNX3 regulates p14-ARF,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952101"",""p14-ARF transcription is stimulated by RUNX proteins"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625375"",""FOXO3,FOXO4 bind STK11 gene promoter"")",No,-,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791306"",""TP53 stimulates AIFM2 gene expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8953111"",""E2F6 binds TFDP1"")",Yes,69,Regulation of MECP2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9018594"",""MECP2 binds LBR"")",Yes,[23]
Gene expression (Transcription),RNA Polymerase III Transcription Initiation From Type 1 Promoter,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-76052"",""Binding of TFIIIA To type 1 Promoter"")",No,-,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186643"",""MEN1 binds SMAD2/3:SMAD4 heterotrimer"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625520"",""MSTN gene expression is stimulated by FOXO1 and p-2S-SMAD2/3:SMAD4"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Death Receptors and Ligands,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5633441"",""TP53 stimulates transcription of TNFRSF10A, TNFRSF10B,TNFRSF10C and TNFRSF10D genes"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623280"",""PCK1 gene expression is stimulated by FOXO1:PPARGC1A"")",No,-
Gene expression (Transcription),,,,,MECP2 regulates transcription of neuronal ligands,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9017988"",""CRH gene expression is repressed by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864466"",""TFAP2A,(TFAP2B,TFAP2C) homo- and heterodimers and YY1 stimulate ERBB2 gene expression"")",Yes,[26]
Gene expression (Transcription),,,,,RUNX2 regulates genes involved in cell migration,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939829"",""ITGBL1 gene expression is stimulated by RUNX2"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 56, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938201"",""MYL9 gene transcription is stimulated by RUNX1:CBFB"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Transcriptional regulation by RUNX2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985343"",""RUNX2 binds SOX9"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),,,,,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8877345"",""IL2 gene expression is stimulated by RUNX1 and NFATC2 and repressed by FOXP3"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,PRC2 methylates histones and DNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-212263"",""PRC2 trimethylates histone H3 at lysine-27"")",Yes,"[31, 32, 35, 53, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX3 Regulates Immune Response and Cell Migration,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8949343"",""ITGAL gene,(ITGA4 gene) expression is stimulated by RUNX3:CBFB"")",No,-
Gene expression (Transcription),,,,,TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5632732"",""p-S939,T1462-TSC2 binding to 14-3-3 dimer is negatively regulated by DDIT4"")",Yes,"[34, 47]"
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9020513"",""GRIN2B gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007582"",""RAD51 gene expression is stimulated by E2F1 and inhibited by E2F6"")",Yes,"[39, 43, 69]"
Gene expression (Transcription),,,,,TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5632766"",""TP53 stimulates SCO2 gene transcription"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8953556"",""E2F1 gene transcription is inhibited by E2F6"")",Yes,"[39, 69]"
Gene expression (Transcription),,,,,RUNX2 regulates genes involved in cell migration,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939667"",""ITGA5 gene expression is stimulated by RUNX2:CBFB"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 56, 68]"
Gene expression (Transcription),,,,,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798044"",""BTG2 binds CCR4-NOT complex"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Transcriptional regulation by RUNX2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007816"",""RUNX2 binds HAND2"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),,,,,DNA methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5334151"",""DNMT1 methylates cytosine in hemimethylated DNA"")",Yes,[6]
Gene expression (Transcription),,,,,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8936628"",""GP1BA gene transcription is stimulated by the complex containing RUNX1, PRMT1 and GATA1 and inhibited by the complex of RUNX1, SIN3A and PRMT6"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9006585"",""PTPN4 gene expression is stimulated by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Stabilization of p53,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804955"",""ATM phosphorylates MDM2"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8869560"",""The NOP2 gene expression is repressed by the complex of NPM1 and TFAP2A homodimer"")",Yes,[26]
Gene expression (Transcription),,,,,TP53 Regulates Transcription of DNA Repair Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6806405"",""TP53 stimulates PMS2 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6801109"",""CHM binds RGGT"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates estrogen receptor mediated transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8932033"",""KCTD6 gene expression is stimulated by RUNX1 and ESR1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8869558"",""HSPD1 gene expression is repressed by the complex of NPM1 and TFAP2A homodimer"")",Yes,[26]
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021951"",""OPRK1 gene expression is stimulated by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,DNA methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5334097"",""DNMT3B:DNMT3L methylates cytosine in DNA"")",Yes,"[31, 32, 35, 53, 59, 63, 65]"
Gene expression (Transcription),,,,,MECP2 regulates transcription of neuronal ligands,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9023351"",""DLL1 gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625409"",""KLF4 gene expression is stimulated by FOXO1,FOXO3"")",Yes,[1]
Gene expression (Transcription),,,,,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8878050"",""HIPK2 phosphorylates RUNX1 and EP300"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007625"",""RBBP8 gene expression is inhibited by E2F6"")",Yes,"[39, 69]"
Gene expression (Transcription),,,,,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938158"",""PRKCQ gene expression is stimulated by RUNX1:CBFB"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Transcriptional Regulation by MECP2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615829"",""IRAK1 gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9006507"",""GRIN2A gene expression is stimulated by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187293"",""SMAD2/3:SMAD4 complex positively regulates JUNB transcription"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791109"",""GADD45A binds PCNA"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 37, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805059"",""CK2:FACT phosphorylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805276"",""CDK5 phosphorylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6800250"",""TP53 stimulates BCL6 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6801666"",""PLK2 phosphorylates CENPJ"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802973"",""PLK3 phosphorylates CDC25C"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6801675"",""PLK2 phosphorylates NPM1"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX2 regulates osteoblast differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985644"",""COL1A1 gene expression is stimulated by RUNX2 and RB1"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),,,,,MECP2 regulates transcription of genes involved in GABA signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022934"",""GAD1 gene expression is stimulated by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798611"",""TP53 stimulates and ZNF420 inhibits TP53AIP1 expression"")",Yes,"[4, 8, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938034"",""NR4A3 gene expression is stimulated by RUNX1:CBFB"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX2 regulates chondrocyte maturation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008326"",""RUNX2 binds HDAC4"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),,,,,MECP2 regulates transcription of genes involved in GABA signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022942"",""GAD2 gene expression is stimulated by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8935731"",""ITGA2B gene transcription is stimulated by the complex of RUNX1, GATA1 and PRMT1 and inhibited by the complex of RUNX1, SIN3A and PRMT6"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Regulation of MECP2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986939"",""MECP2 binds the NCoR/SMRT complex"")",Yes,[23]
Gene expression (Transcription),,,,,RUNX2 regulates osteoblast differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939870"",""UCMA gene expression is stimulated by RUNX2 and SP7"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 56, 68]"
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9023549"",""PTPN1 gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6799097"",""ATM phosphorylates ZNF420"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX2 regulates osteoblast differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985275"",""RUNX2 binds to SATB2"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in differentiation of myeloid cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939066"",""PRKCB gene expression is stimulated by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Post-transcriptional silencing by small RNAs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-426489"",""RISC binds inexactly matching target RNAs"")",Yes,"[14, 46]"
Gene expression (Transcription),,,,,Regulation of RUNX1 Expression and Activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938853"",""CDK6 binds RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8955893"",""SOCS4 gene expression is inhibited by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Downregulation of SMAD2/3:SMAD4 transcriptional activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186767"",""Degradation of ubiquitinated SKI/SKIL"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791235"",""GADD45A binds AURKA"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 37, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Regulation of RUNX1 Expression and Activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938887"",""PML binds RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX3 regulates BCL2L11 (BIM) transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952232"",""BCL2L11 (BIM) gene transcription is stimulated by RUNX3"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Transcriptional regulation by RUNX2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9009282"",""CDK1 phosphorylates RUNX2"")",Yes,"[4, 10, 11, 19, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9023345"",""NOTCH1 gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804253"",""MDM2 ubiquitinates JMY"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in differentiation of myeloid cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938382"",""LGALS3 gene expression is stimulated by RUNX1 and RUNX2"")",Yes,"[5, 4, 10, 11, 19, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Transcriptional Regulation by VENTX,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853956"",""Expression of CCND1 is stimulated by CTNNB1:TCF4,LEF1 and inhibited by VENTX:TCF4,LEF1"")",No,-
Gene expression (Transcription),,,,,Transcriptional Regulation by MECP2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021953"",""GAMT gene expression is stimulated by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805103"",""AURKA phosphorylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RNA Polymerase II Pre-transcription Events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112395"",""Abortive termination of elongation after arrest"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),,,,,Mitochondrial transcription termination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163320"",""Association of mTERF with the termination sequence"")",Yes,[48]
Gene expression (Transcription),,,,,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791323"",""TP53 stimulates BCL2L14 gene expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Caspase Activators and Caspases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791348"",""TP53 stimulates APAF1 gene expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2321904"",""PTEN mRNA translation negatively regulated by microRNAs"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in WNT signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8932076"",""AXIN1 gene expression is inhibited by ESR1 and stimulated by RUNX1"")",Yes,"[2, 5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,PI5P Regulates TP53 Acetylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6811508"",""ING2-bound EP300 acetylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 61, 63, 65, 68]"
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Association with Co-factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804425"",""TP53 binds POU4F2"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798353"",""E2F7 and E2F8 homo- and heterodimers inhibit E2F1 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 28, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187303"",""SMAD2/3:SMAD4:SP1 complex stimulates transcription of CDKN2B"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8954082"",""E2F6 binds the PRC1 complex"")",Yes,"[39, 69]"
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986940"",""MET gene transcription is stimulated by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Regulation of MECP2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986937"",""MECP2 is phosphorylated at T308"")",Yes,"[23, 31, 32, 59, 63, 65]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Caspase Activators and Caspases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6801415"",""TP53 stimulates NLRC4 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622604"",""BCL2L11 gene expression is stimulated by FOXO1,FOXO3,(FOXO4) and NF-Y"")",No,-
Gene expression (Transcription),,,,,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-378978"",""CGA and CGB3 bind to form Human chorionic gonadotropin (hCG)"")",Yes,[26]
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6799431"",""TP53 binds HIPK1"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864999"",""TGFA gene expression is stimulated by the TFAP2A homodimer"")",Yes,[26]
