PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities
SOS-mediated signalling,"GRB2-1:SOS1 binds p-IRS1,p-IRS2",R-HSA-74736,"[GRB2-1:SOS1 [cytosol],p-Y-IRS1,p-Y-IRS2 [cytosol]]","[GRB2-1:SOS1:p-Y-IRS1,p-Y-IRS2 [cytosol]]",[]
eNOS activation,The cofactor BH4 is required for electron transfer in the eNOS catalytic cycle,R-HSA-1497784,"[BH4 [cytosol],p-S1177-eNOS:CaM:HSP90:p-AKT1 [plasma membrane]]",[p-S1177-eNOS:CaM:HSP90:p-AKT1:BH4 [plasma membrane]],[]
IRS-related events triggered by IGF1R,"IGF1,2:p-Y1161,1165,1166-IGF1R binds IRS2",R-HSA-2428922,"[IGF1,2:p-3Y-IGF1R [plasma membrane],IRS2 [cytosol]]","[IGF1,2:p-IGF1R:IRS2 [plasma membrane]]",[]
NCAM signaling for neurite out-growth,ERK1/2 phosphorylates MSK1,R-HSA-198756,"[ATP [nucleoplasm],RPS6KA5 [nucleoplasm]]","[ADP [nucleoplasm],p-S212,S360,S376,T581-RPS6KA5 [nucleoplasm]]","[p-T,Y MAPK dimers [nucleoplasm],p-Y185,Y187 MAPK1 dimer [nucleoplasm],p-T185,Y187-MAPK1 [nucleoplasm],p-T202, Y204 MAPK3 dimer [nucleoplasm],p-T202,Y204-MAPK3 [nucleoplasm]]"
Nuclear signaling by ERBB4,Cleavage of P-ERBB4jmA isoforms by ADAM17,R-HSA-1251992,[p-ERBB4 JM-A homodimers [plasma membrane]],"[ERBB4m80 [plasma membrane],ERBB4_ECD [extracellular region]]","[ADAM17 [plasma membrane],Zn2+ [extracellular region]]"
NGF-stimulated transcription,EGR-dependent NAB2 gene expression,R-HSA-9612493,[NAB2 gene [nucleoplasm]],[NAB2 [nucleoplasm]],"[NAB2 gene:EGR1,2,3 [nucleoplasm],EGR1,2,3 [nucleoplasm],EGR3 [nucleoplasm],EGR2 [nucleoplasm],EGR1 [nucleoplasm],NAB2 gene [nucleoplasm]]"
CaM pathway,Calcium binds calmodulin,R-HSA-74448,"[CALM1 [cytosol],Ca2+ [cytosol]]",[CALM1:4xCa2+ [cytosol]],[]
Signaling by SCF-KIT,Disassociation and translocation of STATs to the nucleus,R-HSA-1470012,[p-JAK2:SFKs:p-KIT complex:p-STAT dimers [plasma membrane]],"[p-STAT dimers [nucleoplasm],p-JAK2:SFKs:p-KIT complex [plasma membrane]]",[]
Negative regulation of MET activity,MET phosphorylates CBL,R-HSA-8875451,"[ATP [cytosol],HGF:p-4Y-MET dimer:GRB2:CBL,(HGF:p-Y1003,4Y-MET dimer:CBL) [plasma membrane]]","[ADP [cytosol],HGF:p-4Y-MET dimer:GRB2:p-Y-CBL,(HGF:p-Y1003,4Y-MET dimer:p-Y-CBL) [plasma membrane]]","[HGF:p-4Y-MET dimer:GRB2:CBL,(HGF:p-Y1003,4Y-MET dimer:CBL) [plasma membrane],HGF:p-Y1003,4Y-MET dimer:CBL [plasma membrane],CBL [cytosol],HGF:p-Y1234,Y1235,Y1349,Y1356-MET dimer [plasma membrane],HGF dimer:p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane],HGF dimer [extracellular region],HGF(32-494) [extracellular region],HGF(495-728) [extracellular region],p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane],HGF:p-4Y-MET dimer:GRB2:CBL [plasma membrane],CBL:GRB2 [cytosol],GRB2-1 [cytosol]]"
Frs2-mediated activation,Activated BRAF recruits MAP2Ks and MAPKs to the endosome,R-HSA-9610152,"[MAP2K homo/heterodimers [cytosol],MAPKs [cytosol],RAP1:GTP:activated BRAF dimer [endosome membrane]]",[RAP1:GTP:activated BRAF dimer:MAPK2K:MAPK complex [endosome membrane]],[]
VEGFR2 mediated cell proliferation,p-6Y-VEGFR2 binds PLCG1,R-HSA-4420153,"[VEGFA dimer:p-6Y-VEGFR2 dimer [plasma membrane],PLCG1 [cytosol]]",[VEGFA dimer:p-6Y-VEGFR2 dimer:PLCG1 [plasma membrane]],[]
NTF3 activates NTRK2 (TRKB) signaling,NTF3-bound NTRK2 dimerizes,R-HSA-9026366,"[NTRK2 [plasma membrane],NTF3:NTRK2 [plasma membrane]]",[NTF3:NTRK2 homodimer [plasma membrane]],[]
ERK/MAPK targets,ERK1/2/5 activate RSK1/2/3,R-HSA-198746,"[ATP [nucleoplasm],Ribosomal protein S6 kinase [nucleoplasm]]","[ADP [nucleoplasm],Phospho-Ribosomal protein S6 kinase [nucleoplasm]]","[p-MAPK3/MAPK1/MAPK7 dimers [nucleoplasm],p-Y185,Y187 MAPK1 dimer [nucleoplasm],p-T185,Y187-MAPK1 [nucleoplasm],p-T1218, Y220 MAPK7 dimer [nucleoplasm],p-T218,Y220-MAPK7 [nucleoplasm],p-T202, Y204 MAPK3 dimer [nucleoplasm],p-T202,Y204-MAPK3 [nucleoplasm]]"
ERKs are inactivated,ERKs are inactivated by protein phosphatase 2A,R-HSA-199959,"[H2O [nucleoplasm],p-MAPK3/MAPK1/MAPK7 dimers [nucleoplasm]]","[Pi [nucleoplasm],MAPK3/MAPK1/MAPK7 dimers [nucleoplasm]]","[PP2A-ABdeltaC complex [nucleoplasm],PPP2R5D [nucleoplasm],PP2A-catalytic subunit C [nucleoplasm],PPP2CB [nucleoplasm],PPP2CA [nucleoplasm],PP2A-subunit A [nucleoplasm],PPP2R1A [nucleoplasm],PPP2R1B [nucleoplasm]]"
EGFR downregulation,Sprouty lures CBL away from EGFR,R-HSA-182988,"[CBL [cytosol],p-Y55-SPRY2 [cytosol]]",[CBL:SPRY1/2 [cytosol]],[]
Spry regulation of FGF signaling,Phosphorylated SPRY2 is ubiquitinated by CBL,R-HSA-934604,"[Y55/Y227-pSPRY2:CBL [plasma membrane],Ub [cytosol]]",[Ub:Y55/Y227-pSPRY2:CBL [plasma membrane]],"[Y55/Y227-pSPRY2:CBL [plasma membrane],p-Y55,Y227-SPRY2 [plasma membrane],CBL [cytosol]]"
RAF/MAP kinase cascade,"p-T,Y MAPKs dimerize",R-HSA-5674385,"[p-T,Y MAPKs [cytosol]]","[p-T,Y MAPK dimers [cytosol]]",[]
PI-3K cascade:FGFR2,FGFR2- and PTPN11- associated PI3K phosphorylates PIP2 to PIP3,R-HSA-5654697,"[ATP [cytosol],PI(4,5)P2 [plasma membrane]]","[PI(3,4,5)P3 [plasma membrane],ADP [cytosol]]","[Activated FGFR2:p-FRS2:p-PTPN11:GRB2:GAB1:PI3K [plasma membrane],PIK3CA [cytosol],Activated FGFR2:p-FRS2:p-PTPN11:GRB2:GAB1:PIK3R1 [plasma membrane],GRB2:GAB1:PIK3R1 [cytosol],PIK3R1 [cytosol],GRB2:GAB1 [cytosol],GAB1 [cytosol],GRB2-1 [cytosol],Activated FGFR2:p-FRS2:p-PTPN11 [plasma membrane],p-Y546,Y584-PTPN11 [cytosol],Activated FGFR2:p-FRS2 [plasma membrane],p-6Y-FRS2 [plasma membrane],Activated FGFR2 [plasma membrane],Activated FGFR2c homodimer bound to FGF [plasma membrane],Activated FGFR2c long homodimer  [plasma membrane],HS [extracellular region],p-8Y-FGFR2c long [plasma membrane],FGFR2c-binding FGFs [extracellular region],FGF4 [extracellular region],FGF1 [extracellular region],FGF18 [extracellular region],FGF20 [extracellular region],FGF8-1 [extracellular region],GalNAc-T178-FGF23(25-251) [extracellular region],FGF2(10-155) [extracellular region],FGF17-1 [extracellular region],FGF6 [extracellular region],FGF9 [extracellular region],FGF16 [extracellular region],FGF5-1 [extracellular region],Activated FGFR2c short homodimer bound to FGF [plasma membrane],p-8Y-FGFR2-5 [plasma membrane],Activated FGFR2b homodimer bound to FGF [plasma membrane],Activated FGFR2b short homodimer bound to FGF [plasma membrane],Phosphorylated Fibroblast growth factor receptor 2b short [plasma membrane],FGFR2b-binding FGFs [extracellular region],FGF22 [extracellular region],FGF3 [extracellular region],FGF7 [extracellular region],FGF10 [extracellular region],Activated FGFR2b long homodimer  [plasma membrane],p-8Y-FGFR2-3 [plasma membrane]]"
PI3K/AKT activation,PI3K produces PIP3 and other phosphatidyl inositides,R-HSA-198266,"[ATP [cytosol],PI(4,5)P2 [plasma membrane]]","[PI(3,4,5)P3 [plasma membrane],ADP [cytosol]]","[Phospho-IRS1/2:PI3K(p85:p110) [plasma membrane],Phospho-IRS1/2 (by TRKA) [plasma membrane],p-Y-IRS1 [plasma membrane],p-Y-IRS2 [plasma membrane],PI3K [cytosol],PI3K-regulatory subunit [cytosol],PIK3R1 [cytosol],PIK3R2 [cytosol],PI3K-catalytic subunit [cytosol],PIK3CA [cytosol],PIK3CB [cytosol]]"
FRS-mediated FGFR4 signaling,Activated FGFR4:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,R-HSA-5654663,"[GTP [cytosol],p21 RAS:GDP [plasma membrane]]","[GDP [cytosol],p21 RAS:GTP [plasma membrane]]","[Activated FGFR4:p-FRS2:GRB2:SOS1 [plasma membrane],Activated FGFR4:p-FRS [plasma membrane],Activated FGFR4:p-FRS3 [plasma membrane],p-5Y-FRS3 [plasma membrane],Activated FGFR4 [plasma membrane],Activated FGFR4 bound to FGF19:BetaKlotho [plasma membrane],FGF19 [extracellular region],p-5Y-FGFR4 [plasma membrane],KLB [plasma membrane],Activated FGFR4 homodimer [plasma membrane],HS [extracellular region],FGFR4-binding FGFs [extracellular region],FGF4 [extracellular region],FGF1 [extracellular region],FGF18 [extracellular region],FGF20 [extracellular region],FGF8-1 [extracellular region],GalNAc-T178-FGF23(25-251) [extracellular region],FGF2(10-155) [extracellular region],FGF17-1 [extracellular region],FGF6 [extracellular region],FGF9 [extracellular region],FGF16 [extracellular region],Activated FGFR4:p-FRS2 [plasma membrane],p-6Y-FRS2 [plasma membrane],GRB2-1:SOS1 [cytosol],SOS1 [cytosol],GRB2-1 [cytosol]]"
Signaling by PDGF,PDGFRs bind type II TKI,R-HSA-9674095,"[type II PDGFR-binding tyrosine kinase inhibitors [cytosol],PDGFRA, PDGFRB [plasma membrane]]",[PDGFR:type II PDGFR-binding TKIs [plasma membrane]],[]
CD28 dependent PI3K/Akt signaling,PDPK1 phosphorylates AKT at T308,R-HSA-198270,"[p-S-AKT:PDPK1:PIP3 [plasma membrane],ATP [cytosol]]","[p-T,p-S-AKT [cytosol],ADP [cytosol],PDPK1:PIP3 [plasma membrane]]","[p-S-AKT:PDPK1:PIP3 [plasma membrane],p-S-AKT:PIP3 [plasma membrane],p-S-AKT [plasma membrane],p-S474-AKT2 [plasma membrane],p-S472-AKT3 [plasma membrane],p-S473-AKT1 [plasma membrane],PI(3,4,5)P3 [plasma membrane],PDPK1:PIP3 [plasma membrane],PDPK1 [plasma membrane]]"
Signaling by SCF-KIT,Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,"[ATP [cytosol],PI(4,5)P2 [plasma membrane]]","[PI(3,4,5)P3 [plasma membrane],ADP [cytosol]]","[PI3K:p-KIT:sSCF dimer:p-KIT,PI3K:p(Y)-GAB2:GRB2:p-SHP2:p-KIT complex [plasma membrane],PI3K:p(Y)-GAB2:GRB2:p-SHP2:p-KIT complex [plasma membrane],GRB2:p-SHP2:p-KIT complex [plasma membrane],p-SHP2:p-KIT complex [plasma membrane],SFKs:p-KIT complex [plasma membrane],Src family tyrosine kinases (SFKs) [cytosol],FYN [cytosol],LCK [cytosol],SRC-1 [cytosol],YES1 [cytosol],LYN [cytosol],p-7Y-KIT:sSCF dimer:p-7Y-KIT [plasma membrane],p-7Y-KIT [plasma membrane],sSCF dimer [extracellular region],KITLG-1(26-190) [extracellular region],p-Y546,Y584-PTPN11 [cytosol],GRB2-1 [cytosol],PI3K alpha [cytosol],PIK3CA [cytosol],PI3K-regulatory subunits [cytosol],PIK3R3 [cytosol],PIK3R2 [cytosol],PIK3R1 [cytosol],p-Y-GAB2 [cytosol],PI3K:p-KIT:sSCF dimer:p-KIT [plasma membrane]]"
Insulin receptor signalling cascade,Phosphorylation of SHC1,R-HSA-74742,"[ATP [cytosol],Insulin:p-6Y-Insulin receptor:SHC1 [plasma membrane]]","[Insulin:p-6Y-Insulin receptor:p-Y427-SHC1 [plasma membrane],ADP [cytosol]]","[Insulin:p-6Y-Insulin receptor:SHC1 [plasma membrane],Insulin:p-6Y-Insulin receptor [plasma membrane],Insulin [extracellular region],2xHC-INS(25-54) [extracellular region],4xHC-INS(90-110) [extracellular region],p-6Y-insulin receptor [plasma membrane],INSR(28-758) [plasma membrane],p-6Y-INSR(763-1382) [plasma membrane],SHC1 [cytosol]]"
Signaling by SCF-KIT,Phosphorylation of STATs,R-HSA-1470009,"[ATP [cytosol],p-JAK2:SFKs:p-KIT complex:STATs [plasma membrane]]","[ADP [cytosol],p-JAK2:SFKs:p-KIT complex:p-STATs [plasma membrane]]","[p-JAK2:SFKs:p-KIT complex:STATs [plasma membrane],SFKs:p-KIT complex [plasma membrane],Src family tyrosine kinases (SFKs) [cytosol],FYN [cytosol],LCK [cytosol],SRC-1 [cytosol],YES1 [cytosol],LYN [cytosol],p-7Y-KIT:sSCF dimer:p-7Y-KIT [plasma membrane],p-7Y-KIT [plasma membrane],sSCF dimer [extracellular region],KITLG-1(26-190) [extracellular region],p-Y1007-JAK2 [cytosol],STATs [cytosol],STAT5B [cytosol],STAT3 [cytosol],STAT5A [cytosol],STAT1 [cytosol]]"
MET activates RAP1 and RAC1,RAPGEF1 activates RAP1,R-HSA-8875568,"[RAP1:GDP [plasma membrane],GTP [cytosol]]","[GDP [cytosol],RAP1:GTP [plasma membrane]]","[HGF:p-4Y-MET:p-5Y-GAB1, HGF:p-4Y-MET:GRB2-1:p-5Y-GAB1:CRK,CRKL:RAPGEF1 [plasma membrane],HGF:p-4Y-MET:p-5Y-GAB1, HGF:p-4Y-MET:GRB2-1:p-5Y-GAB1:CRK,CRKL [plasma membrane],HGF:p-4Y-MET:p-5Y-GAB1, HGF:p-4Y-MET:GRB2-1:p-5Y-GAB1 [plasma membrane],HGF:p-4Y-MET dimer:GRB2-1:p-5Y-GAB1 [plasma membrane],HGF:p-Y1234,Y1235,Y1349,Y1356-MET dimer [plasma membrane],HGF dimer:p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane],HGF dimer [extracellular region],HGF(32-494) [extracellular region],HGF(495-728) [extracellular region],p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane],p-5Y-GAB1 [cytosol],GRB2-1 [cytosol],HGF:p-4Y-MET dimer:p-5Y-GAB1 [plasma membrane],CRK, CRKL [cytosol],CRKL [cytosol],CRK [cytosol],RAPGEF1 [cytosol]]"
Retrograde neurotrophin signalling,Formation of clathrin-coated vesicle,R-HSA-177491,"[Activated TrkA receptor complex [plasma membrane],Clathrin:AP-2 complex [plasma membrane]]",[Activated TrkA receptor complex:Clathrin-coated vesicle [plasma membrane]],[]
PI3K events in ERBB2 signaling,Binding of PI3K to p-ERBB2:p-ERBB4 CYT-1 heterodimers,R-HSA-1250346,"[Phosphorylated ERBB2:ERBB4cyt1 heterodimers [plasma membrane],PIK3CA:PIK3R1 [cytosol]]",[NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K [plasma membrane]],[]
VEGFA-VEGFR2 Pathway,NADPH oxidase 2 (NOX2) complex binds RAC1,R-HSA-5218827,"[NOX2 complex [plasma membrane],RAC1:GTP [plasma membrane]]",[NOX2 complex:RAC1:GTP [plasma membrane]],[]
Activated NTRK2 signals through FRS2 and FRS3,NTRK2-phosphorylated FRS2 binds GRB2,R-HSA-9032073,"[GRB2-1:SOS1 [cytosol],BDNF,NTF4:p-5Y-NTRK2:p-Y-FRS2 [plasma membrane]]","[BDNF,NTF4:p-5Y-NTRK2:p-Y-FRS2:GRB2-1:SOS1 [plasma membrane]]",[]
Signaling by PDGF,PDGF binds to extracellular matrix proteins,R-HSA-382054,"[Extracellular matrix ligands [extracellular region],PDGF A and B chains with retention motif [extracellular region]]",[PDGF A and B chains:ECM complex [extracellular region]],[]
Ion channel transport,ATP6AP1 binds V-ATPase,R-HSA-5252133,"[V-ATPase [endosome membrane],ATP6AP1 [endosome membrane]]",[V-ATPase:ATP6AP1 [endosome membrane]],[]
VEGFA-VEGFR2 Pathway,Src kinases phosphorylate VAV,R-HSA-5218820,"[ATP [cytosol],PIP3:VAV1,2,3 [plasma membrane]]","[p-VAV family:PIP3 [plasma membrane],ADP [cytosol]]","[VEGFA:p-6Y-VEGFR2:p-SHB:p-Y397-PTK2:SRC-1 [plasma membrane],VEGFA:p-6Y-VEGFR2:p-SHB:p-Y397-PTK2 [plasma membrane],p-Y397-PTK2 [cytosol],VEGFA dimer:p-6Y-VEGFR2 dimer:p-S-SHB [plasma membrane],pS-SHB [cytosol],VEGFA dimer:p-6Y-VEGFR2 dimer [plasma membrane],p-6Y-VEGFR2 dimer [plasma membrane],p-6Y-VEGFR2 [plasma membrane],VEGFA-165 dimer [extracellular region],VEGFA-165 [extracellular region],SRC-1 [cytosol]]"
Transferrin endocytosis and recycling,ATP6AP1 binds V-ATPase,R-HSA-5252133,"[V-ATPase [endosome membrane],ATP6AP1 [endosome membrane]]",[V-ATPase:ATP6AP1 [endosome membrane]],[]
Signaling by SCF-KIT,Phosphorylation and activation of VAV1,R-HSA-1433542,"[PI(3,4,5)P3 [plasma membrane],ATP [cytosol],VAV1 [cytosol]]","[ADP [cytosol],p-VAV1:PIP3 [plasma membrane]]","[SFKs:p-KIT complex [plasma membrane],Src family tyrosine kinases (SFKs) [cytosol],FYN [cytosol],LCK [cytosol],SRC-1 [cytosol],YES1 [cytosol],LYN [cytosol],p-7Y-KIT:sSCF dimer:p-7Y-KIT [plasma membrane],p-7Y-KIT [plasma membrane],sSCF dimer [extracellular region],KITLG-1(26-190) [extracellular region]]"
MET activates RAP1 and RAC1,DOCK7 activates RAC1,R-HSA-8875591,"[GTP [cytosol],RAC1:GDP [plasma membrane]]","[GDP [cytosol],RAC1:GTP [plasma membrane]]","[HGF:p-4Y-MET:p-5Y-GAB1, HGF:p-4Y-MET:GRB2-1:p-5Y-GAB1:CRK,CRKL:(DOCK7) [plasma membrane],HGF:p-4Y-MET:p-5Y-GAB1, HGF:p-4Y-MET:GRB2-1:p-5Y-GAB1:CRK,CRKL [plasma membrane],HGF:p-4Y-MET:p-5Y-GAB1, HGF:p-4Y-MET:GRB2-1:p-5Y-GAB1 [plasma membrane],HGF:p-4Y-MET dimer:GRB2-1:p-5Y-GAB1 [plasma membrane],HGF:p-Y1234,Y1235,Y1349,Y1356-MET dimer [plasma membrane],HGF dimer:p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane],HGF dimer [extracellular region],HGF(32-494) [extracellular region],HGF(495-728) [extracellular region],p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane],p-5Y-GAB1 [cytosol],GRB2-1 [cytosol],HGF:p-4Y-MET dimer:p-5Y-GAB1 [plasma membrane],CRK, CRKL [cytosol],CRKL [cytosol],CRK [cytosol],(DOCK7) [cytosol],DOCK7 [cytosol]]"
Spry regulation of FGF signaling,CBL dissociates from ubiquitinated p-SPRY2,R-HSA-1295621,[Ub:Y55/Y227-pSPRY2:CBL [plasma membrane]],"[Ub-(Y55/Y227)p-SPRY2 [plasma membrane],CBL [cytosol]]",[]
VEGFR2 mediated cell proliferation,SFKs phosphorylate PLCG1,R-HSA-4420121,"[ATP [cytosol],VEGFA dimer:p-6Y-VEGFR2 dimer:PLCG1 [plasma membrane]]","[VEGFA dimer:p-6Y-VEGFR2 dimer:p-4Y-PLCG1 [plasma membrane],ADP [cytosol]]",[SRC-1 [cytosol]]
"Inactivation, recovery and regulation of the phototransduction cascade",Calcium binds calmodulin,R-HSA-74448,"[CALM1 [cytosol],Ca2+ [cytosol]]",[CALM1:4xCa2+ [cytosol]],[]
GAB1 signalosome,SHP2 dephosphorylates Tyr 992 on EGFR,R-HSA-177935,"[EGF-like ligands:p-6Y-EGFR:GRB2:p-5Y-GAB1:SHP2 [plasma membrane],H2O [cytosol]]","[Pi [cytosol],EGF-like ligands:p-5Y-EGFR:GRB2:p-5Y-GAB1:SHP2 [plasma membrane]]","[EGF-like ligands:p-6Y-EGFR:GRB2:p-5Y-GAB1:SHP2 [plasma membrane],PTPN11 [cytosol],EGF-like ligands:p-6Y-EGFR:GRB2:p-5Y-GAB1 [plasma membrane],GRB2:p-5Y-GAB1,GRB2:p-5Y-GAB1:PIP3 [cytosol],GRB2:Phospho-GAB1 [cytosol],p-5Y-GAB1 [cytosol],GRB2-1 [cytosol],GRB2:p-5Y-GAB1:PIP3 [plasma membrane],PI(3,4,5)P3 [plasma membrane],EGF-like ligands:p-6Y EGFR dimer [plasma membrane],EGF-like ligands [extracellular region],HBEGF(63-148) [extracellular region],EREG(60-108) [extracellular region],EGF [extracellular region],TGFA(24-98) [extracellular region],EPGN(23-154) [extracellular region],BTC(32-111) [extracellular region],AREG(101-187) [extracellular region],p-6Y-EGFR [plasma membrane]]"
MET activates RAS signaling,"RAS guanyl nucleotide exchange by SOS1 bound to GRB2, SCH1-2 and MET",R-HSA-8851899,"[GTP [cytosol],p21 RAS:GDP [plasma membrane]]","[GDP [cytosol],p21 RAS:GTP [plasma membrane]]","[HGF:p-4Y-MET dimer:p-Y317-SHC1-2:GRB2:SOS1 [plasma membrane],HGF:p-4Y-MET dimer:p-Y317-SHC1-2 [plasma membrane],p-Y317-SHC1-2 [cytosol],HGF:p-Y1234,Y1235,Y1349,Y1356-MET dimer [plasma membrane],HGF dimer:p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane],HGF dimer [extracellular region],HGF(32-494) [extracellular region],HGF(495-728) [extracellular region],p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane],GRB2-1:SOS1 [cytosol],SOS1 [cytosol],GRB2-1 [cytosol]]"
Retrograde neurotrophin signalling,Axonal transport of NGF:Trk complexes,R-HSA-177479,[Activated TrkA receptor complex:Clathrin-coated vesicle:Endophilin [plasma membrane]],[Activated TrkA receptor complex:Clathrin-coated vesicle:dynein:dynactin complex [plasma membrane]],[DNAL4 [plasma membrane]]
Signaling by ERBB4,NRG2-activated ERBB4 binds GABA receptors through GABRA1,R-HSA-9612639,"[NRG2:p-ERBB4 homodimers [plasma membrane],GABRA1 heteropentamers:GABA [plasma membrane]]",[NRG2:p-ERBB4 homodimers:GABRA1 heteropentamers:GABA [plasma membrane]],[]
PLC-gamma1 signalling,TrkA phosphorylates PLCG1,R-HSA-167683,"[ATP [cytosol],Active TrkA receptor:PLCG1 complex [plasma membrane]]","[ADP [cytosol],Active TrkA receptor:Phospho-PLCG1 complex [plasma membrane]]","[Active TrkA receptor:PLCG1 complex [plasma membrane],PLCG1 [plasma membrane],Activated TrkA receptor complex [plasma membrane],beta-NGF homodimer [extracellular region],NGF [extracellular region],p-5Y-NTRK1 [plasma membrane]]"
FRS-mediated FGFR1 signaling,Activated FGFR1:p-FRS phosphorylates PPTN11,R-HSA-5654587,"[Activated FGFR1:p-FRS:PTPN11 [plasma membrane],ATP [cytosol]]","[ADP [cytosol],Activated FGFR1:p-FRS:p-PTPN11 [plasma membrane]]","[Activated FGFR1:p-FRS:PTPN11 [plasma membrane],Activated FGFR1:p-FRS [plasma membrane],Activated FGFR1:p-FRS3 [plasma membrane],p-5Y-FRS3 [plasma membrane],Activated FGFR1 [plasma membrane],Activated FGFR1c bound to FGF23:Klotho [plasma membrane],p-8Y-FGFR1c [plasma membrane],HS [extracellular region],Klotho bound to FGF23 [plasma membrane],FGF23(25-251) [extracellular region],Klotho homodimer [plasma membrane],Klotho [extracellular region],Secreted Klotho homodimer [extracellular region],KL-2 [extracellular region],Membrane-bound Klotho homodimer [plasma membrane],KL-1 [plasma membrane],Activated FGFR1c homodimer  [plasma membrane],FGFR1c-binding FGFs [extracellular region],FGF4 [extracellular region],FGF1 [extracellular region],FGF20 [extracellular region],FGF8-1 [extracellular region],GalNAc-T178-FGF23(25-251) [extracellular region],FGF2(10-155) [extracellular region],FGF17-1 [extracellular region],FGF6 [extracellular region],FGF9 [extracellular region],FGF5-1 [extracellular region],Activated FGFR1b homodimer [plasma membrane],p-8Y-FGFR1b dimer [plasma membrane],p-8Y-FGFR1b [plasma membrane],FGFR1b-binding FGFs [extracellular region],FGF22 [extracellular region],FGF3 [extracellular region],FGF10 [extracellular region],Activated FGFR1:p-FRS2 [plasma membrane],p-6Y-FRS2 [plasma membrane],PTPN11 [cytosol]]"
Signaling by PDGF,PDGF-BB clevage by Furin,R-HSA-8865275,[proPDGF-BB dimer [Golgi membrane]],"[Cleaved PDGF-B peptides [Golgi lumen],active PDGF-BB dimer [extracellular region]]",[FURIN [Golgi membrane]]
Negative regulation of MET activity,CBL binds MET,R-HSA-8874685,"[HGF:p-4Y-MET dimer,(HGF:p-Y1003,4Y-METdimer) [plasma membrane],CBL:GRB2,CBL [cytosol]]","[HGF:p-4Y-MET dimer:GRB2:CBL,(HGF:p-Y1003,4Y-MET dimer:CBL) [plasma membrane]]",[]
Nuclear signaling by ERBB4,CSN2 gene expression is stimulated by ERBB4s80:STAT5A,R-HSA-1254290,[CSN2 gene [nucleoplasm]],[CSN2 [extracellular region]],"[ERBB4s80:p-Y694-STAT5A:CSN2 gene [nucleoplasm],ERBB4s80:p-Y694-STAT5A [nucleoplasm],ERBB4s80 [nucleoplasm],ERBB4jmAcyt1s80 dimer [nucleoplasm],ERBB4jmAcyt1s80 [nucleoplasm],ERBB4jmAcyt2s80 dimer [nucleoplasm],ERBB4jmAcyt2s80 [nucleoplasm],STAT5A homodimer [nucleoplasm],p-Y694-STAT5A [nucleoplasm],CSN2 gene [nucleoplasm]]"
Activated NTRK2 signals through CDK5,NTRK2 promotes TIAM1 phosphorylation,R-HSA-9033284,"[ATP [cytosol],BDNF:p-5Y,S479-NTRK2 homodimer:TIAM1 [plasma membrane]]","[ADP [cytosol],BDNF:p-5Y,S479-NTRK2:p-Y829-TIAM1 [plasma membrane]]","[BDNF:p-5Y,S479-NTRK2 homodimer:TIAM1 [plasma membrane],TIAM1 [cytosol],BDNF:p-5Y,S479-NTRK2 homodimer [plasma membrane],p-5Y,S479-NTRK2 [plasma membrane],BDNF:p-5Y,S479-NTRK2 [plasma membrane],BDNF homodimer [extracellular region],BDNF [extracellular region]]"
GAB1 signalosome,PI3K binds to EGF:EGFR:GRB2:GAB1,R-HSA-177927,"[EGF-like ligands:p-6Y-EGFR:GRB2:p-5Y-GAB1 [plasma membrane],PIK3CA:PIK3R1 [cytosol]]",[EGF-like ligands:p-6Y-EGFR:GRB2:p-5Y-GAB1:PI3K [plasma membrane]],[]
Estrogen-dependent gene expression,CXCL12 gene expression is stimulated by ERBB4s80:ESR1:estrogen,R-HSA-8954199,[CXCL12 gene [nucleoplasm]],[CXCL12(22-93) [extracellular region]],"[ERBB4s80:ESR1:estrogen:CXCL12 gene [nucleoplasm],CXCL12 gene [nucleoplasm],ERBB4s80:ESR1:estrogen [nucleoplasm],ERBB4s80 [nucleoplasm],ERBB4jmAcyt1s80 dimer [nucleoplasm],ERBB4jmAcyt1s80 [nucleoplasm],ERBB4jmAcyt2s80 dimer [nucleoplasm],ERBB4jmAcyt2s80 [nucleoplasm],ESR1:ESTG [nucleoplasm],ESTG [nucleoplasm],ESR1 homodimer [nucleoplasm],ESR1 [nucleoplasm]]"
Nuclear signaling by ERBB4,Translocation of ERBB4s80 to the nucleus,R-HSA-1252013,[ERBB4s80 [cytosol]],[ERBB4s80 [nucleoplasm]],"[ERBB4s80:MyrG-p-Y419-SRC [plasma membrane],MyrG-p-Y419-SRC [plasma membrane],ERBB4s80 [cytosol],ERBB4jmAcyt2s80 dimer [cytosol],ERBB4jmAcyt2s80 [cytosol],ERBB4jmAcyt1s80 dimer [cytosol],ERBB4jmAcyt1s80 [cytosol]]"
