PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities,Author
Virion Assembly and Release,Recruitment of Spike trimer to assembling virion,R-HSA-9684241,"[complex N-glycan-PALM-Spike trimer [endoplasmic reticulum-Golgi intermediate compartment],M lattice:E protein:encapsidated SARS coronavirus genomic RNA [endoplasmic reticulum-Golgi intermediate compartment membrane]]",[S3:M:E:encapsidated SARS coronavirus genomic RNA:O-glycosyl 3a tetramer [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Rothfels, K"
Virion Assembly and Release,Viral release,R-HSA-9685542,[S3:M:E:encapsidated SARS coronavirus genomic RNA:7a:O-glycosyl 3a tetramer [exocytic vesicle]],[S3:M:E:encapsidated SARS coronavirus genomic RNA: 7a:O-glycosyl 3a tetramer [extracellular region]],[],"Rothfels, K"
Virion Assembly and Release,SUMO-p-N protein dimer binds genomic RNA,R-HSA-9684229,"[m7G(5')pppAm-capped, polyadenylated SARS-CoV-1 genomic RNA (plus strand) [cytosol],SUMO1-K62-p-S177-Ncap dimer [endoplasmic reticulum-Golgi intermediate compartment membrane]]",[SUMO-p-Ncap dimer:SARS coronavirus genomic RNA [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Rothfels, K"
Virion Assembly and Release,SARS virus buds into ERGIC lumen,R-HSA-9685531,[S3:M:E:encapsidated SARS coronavirus genomic RNA:7a:O-glycosyl 3a tetramer [endoplasmic reticulum-Golgi intermediate compartment membrane]],[S3:M:E:encapsidated SARS coronavirus genomic RNA:7a:O-glycosyl 3a tetramer [exocytic vesicle]],[],"Rothfels, K"
Virion Assembly and Release,Encapsidation of SARS coronavirus genomic RNA,R-HSA-9684234,"[SUMO1-K62-p-S177-Ncap dimer [endoplasmic reticulum-Golgi intermediate compartment membrane],SUMO-p-Ncap dimer:SARS coronavirus genomic RNA [endoplasmic reticulum-Golgi intermediate compartment membrane]]",[encapsidated SARS coronavirus genomic RNA [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Rothfels, K"
Virion Assembly and Release,M protein oligomerization,R-HSA-9684218,"[N-glycan M [endoplasmic reticulum-Golgi intermediate compartment membrane],M [endoplasmic reticulum-Golgi intermediate compartment membrane]]",[M lattice [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Rothfels, K"
Virion Assembly and Release,E and N are recruited to the M lattice,R-HSA-9684238,"[M lattice [endoplasmic reticulum-Golgi intermediate compartment membrane],encapsidated SARS coronavirus genomic RNA [endoplasmic reticulum-Golgi intermediate compartment membrane],N-glycan E pentamer [endoplasmic reticulum-Golgi intermediate compartment membrane]]",[M lattice:E protein:encapsidated SARS coronavirus genomic RNA [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Rothfels, K"
Virion Assembly and Release,Accessory proteins are recruited to the maturing virion,R-HSA-9686174,"[O-glycosyl 3a tetramer [endoplasmic reticulum-Golgi intermediate compartment membrane],S3:M:E:encapsidated SARS coronavirus genomic RNA:O-glycosyl 3a tetramer [endoplasmic reticulum-Golgi intermediate compartment membrane],7a [endoplasmic reticulum-Golgi intermediate compartment membrane]]",[S3:M:E:encapsidated SARS coronavirus genomic RNA:7a:O-glycosyl 3a tetramer [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Rothfels, K"
Replication of the SARS-CoV-1 genome,nsp8 generates RNA primers,R-HSA-9681651,"[SARS-CoV-1 gRNA:RTC [double membrane vesicle viral factory outer membrane],NTP [cytosol]]","[PPi [cytosol],SARS coronavirus gRNA:RTC:RNA primer [double membrane vesicle viral factory outer membrane]]","[SARS-CoV-1 gRNA:RTC [double membrane vesicle viral factory outer membrane],RTC [double membrane vesicle viral factory outer membrane],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol],nsp15 hexamer [cytosol],pp1ab-nsp15 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol],nsp10:nsp14 [cytosol],nsp10 [cytosol],pp1a-nsp10 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp14 [cytosol],nsp7:nsp8:nsp12 [cytosol],nsp8 [cytosol],pp1a-nsp8 [cytosol],pp1ab-nsp8 [cytosol],nsp7:nsp8 [cytosol],nsp7 [cytosol],pp1ab-nsp7 [cytosol],pp1a-nsp7 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp13 [cytosol],nsp16:nsp10 [cytosol],pp1ab-nsp16 [cytosol],nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane],nsp3 [double membrane vesicle viral factory outer membrane],pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],pp1a-nsp3 [double membrane vesicle viral factory outer membrane],nsp4 [double membrane vesicle viral factory outer membrane],pp1a-nsp4 [double membrane vesicle viral factory outer membrane],pp1ab-nsp4 [double membrane vesicle viral factory outer membrane],nsp6 [double membrane vesicle viral factory outer membrane],pp1ab-nsp6 [double membrane vesicle viral factory outer membrane],pp1a-nsp6 [double membrane vesicle viral factory outer membrane],m7G(5')pppAm-capped, polyadenylated SARS-CoV-1 genomic RNA (plus strand) [cytosol]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,nsp14 acts as a cap N7 methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),R-HSA-9684018,"[SARS-CoV-1 genomic RNA complement (minus strand) [cytosol],GTP [cytosol],H2O [cytosol],S-adenosyl-L-methionine [cytosol]]","[PPi [cytosol],Pi [cytosol],m7GpppA-capped SARS-CoV-1 genomic RNA complement (minus strand) [cytosol],S-adenosyl-L-homocysteine [cytosol]]","[RTC [double membrane vesicle viral factory outer membrane],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol],nsp15 hexamer [cytosol],pp1ab-nsp15 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol],nsp10:nsp14 [cytosol],nsp10 [cytosol],pp1a-nsp10 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp14 [cytosol],nsp7:nsp8:nsp12 [cytosol],nsp8 [cytosol],pp1a-nsp8 [cytosol],pp1ab-nsp8 [cytosol],nsp7:nsp8 [cytosol],nsp7 [cytosol],pp1ab-nsp7 [cytosol],pp1a-nsp7 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp13 [cytosol],nsp16:nsp10 [cytosol],pp1ab-nsp16 [cytosol],nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane],nsp3 [double membrane vesicle viral factory outer membrane],pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],pp1a-nsp3 [double membrane vesicle viral factory outer membrane],nsp4 [double membrane vesicle viral factory outer membrane],pp1a-nsp4 [double membrane vesicle viral factory outer membrane],pp1ab-nsp4 [double membrane vesicle viral factory outer membrane],nsp6 [double membrane vesicle viral factory outer membrane],pp1ab-nsp6 [double membrane vesicle viral factory outer membrane],pp1a-nsp6 [double membrane vesicle viral factory outer membrane]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,nsp14 acts as a cap N7 methyltransferase to modify SARS-CoV-1 gRNA (plus strand),R-HSA-9684017,"[GTP [cytosol],H2O [cytosol],SARS-CoV-1 genomic RNA (plus strand) [cytosol],S-adenosyl-L-methionine [cytosol]]","[PPi [cytosol],Pi [cytosol],m7GpppA-capped SARS-CoV-1 genomic RNA (plus strand) [cytosol],S-adenosyl-L-homocysteine [cytosol]]","[RTC [double membrane vesicle viral factory outer membrane],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol],nsp15 hexamer [cytosol],pp1ab-nsp15 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol],nsp10:nsp14 [cytosol],nsp10 [cytosol],pp1a-nsp10 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp14 [cytosol],nsp7:nsp8:nsp12 [cytosol],nsp8 [cytosol],pp1a-nsp8 [cytosol],pp1ab-nsp8 [cytosol],nsp7:nsp8 [cytosol],nsp7 [cytosol],pp1ab-nsp7 [cytosol],pp1a-nsp7 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp13 [cytosol],nsp16:nsp10 [cytosol],pp1ab-nsp16 [cytosol],nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane],nsp3 [double membrane vesicle viral factory outer membrane],pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],pp1a-nsp3 [double membrane vesicle viral factory outer membrane],nsp4 [double membrane vesicle viral factory outer membrane],pp1a-nsp4 [double membrane vesicle viral factory outer membrane],pp1ab-nsp4 [double membrane vesicle viral factory outer membrane],nsp6 [double membrane vesicle viral factory outer membrane],pp1ab-nsp6 [double membrane vesicle viral factory outer membrane],pp1a-nsp6 [double membrane vesicle viral factory outer membrane]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,RTC synthesizes SARS-CoV-1 plus strand genomic RNA,R-HSA-9681840,"[SARS-CoV-1 gRNA complement (minus strand):RTC [double membrane vesicle viral factory outer membrane],NTP [cytosol]]","[PPi [cytosol],m7G(5')pppAm-capped SARS-CoV-1 genomic RNA complement (minus strand) [cytosol],SARS-CoV-1 genomic RNA (plus strand) [cytosol],RTC [double membrane vesicle viral factory outer membrane]]","[SARS-CoV-1 gRNA complement (minus strand):RTC [double membrane vesicle viral factory outer membrane],RTC [double membrane vesicle viral factory outer membrane],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol],nsp15 hexamer [cytosol],pp1ab-nsp15 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol],nsp10:nsp14 [cytosol],nsp10 [cytosol],pp1a-nsp10 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp14 [cytosol],nsp7:nsp8:nsp12 [cytosol],nsp8 [cytosol],pp1a-nsp8 [cytosol],pp1ab-nsp8 [cytosol],nsp7:nsp8 [cytosol],nsp7 [cytosol],pp1ab-nsp7 [cytosol],pp1a-nsp7 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp13 [cytosol],nsp16:nsp10 [cytosol],pp1ab-nsp16 [cytosol],nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane],nsp3 [double membrane vesicle viral factory outer membrane],pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],pp1a-nsp3 [double membrane vesicle viral factory outer membrane],nsp4 [double membrane vesicle viral factory outer membrane],pp1a-nsp4 [double membrane vesicle viral factory outer membrane],pp1ab-nsp4 [double membrane vesicle viral factory outer membrane],nsp6 [double membrane vesicle viral factory outer membrane],pp1ab-nsp6 [double membrane vesicle viral factory outer membrane],pp1a-nsp6 [double membrane vesicle viral factory outer membrane],m7G(5')pppAm-capped SARS-CoV-1 genomic RNA complement (minus strand) [cytosol],SARS-CoV-1 gRNA complement (minus strand):RTC:RTC inhibitors [double membrane vesicle viral factory outer membrane],RTC inhibitors [double membrane vesicle viral factory outer membrane],NHC [double membrane vesicle viral factory outer membrane],remdesivir [double membrane vesicle viral factory outer membrane]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,GSK3 phosphorylates N,R-HSA-9681627,"[N [cytosol],ATP [cytosol]]","[ADP [cytosol],p-S177,S181,S185,S187,S189,S191,S195,T199,S203,S207-N [cytosol]]","[GSK3 [cytosol],GSK3B [cytosol],GSK3A [cytosol]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,ZCRB1 binds 5'UTR of SARS-CoV-1 genomic RNA,R-HSA-9682009,"[SARS-CoV-1 genomic RNA (plus strand) [cytosol],ZCRB1 [cytosol]]",[ZCRB1:SARS-CoV-1 genomic RNA (plus strand) [cytosol]],[],"Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,SARS-CoV-1 gRNA complement (minus strand):RTC binds RTC inhibitors,R-HSA-9687384,"[SARS-CoV-1 gRNA complement (minus strand):RTC [double membrane vesicle viral factory outer membrane],RTC inhibitors [double membrane vesicle viral factory outer membrane]]",[SARS-CoV-1 gRNA complement (minus strand):RTC:RTC inhibitors [double membrane vesicle viral factory outer membrane]],[],"Jassal, B"
Replication of the SARS-CoV-1 genome,nsp15 binds RB1,R-HSA-9682712,"[RB1 [cytosol],nsp15 hexamer [cytosol]]",[nsp15:RB1 [cytosol]],[],"Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,nsp16 binds VHL,R-HSA-9683455,"[VHL [cytosol],pp1ab-nsp16 [cytosol]]",[nsp16:VHL [cytosol]],[],"Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),R-HSA-9684030,"[S-adenosyl-L-methionine [cytosol],m7GpppA-capped SARS-CoV-1 genomic RNA complement (minus strand) [cytosol]]","[m7G(5')pppAm-capped SARS-CoV-1 genomic RNA complement (minus strand) [cytosol],S-adenosyl-L-homocysteine [cytosol]]","[RTC [double membrane vesicle viral factory outer membrane],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol],nsp15 hexamer [cytosol],pp1ab-nsp15 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol],nsp10:nsp14 [cytosol],nsp10 [cytosol],pp1a-nsp10 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp14 [cytosol],nsp7:nsp8:nsp12 [cytosol],nsp8 [cytosol],pp1a-nsp8 [cytosol],pp1ab-nsp8 [cytosol],nsp7:nsp8 [cytosol],nsp7 [cytosol],pp1ab-nsp7 [cytosol],pp1a-nsp7 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp13 [cytosol],nsp16:nsp10 [cytosol],pp1ab-nsp16 [cytosol],nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane],nsp3 [double membrane vesicle viral factory outer membrane],pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],pp1a-nsp3 [double membrane vesicle viral factory outer membrane],nsp4 [double membrane vesicle viral factory outer membrane],pp1a-nsp4 [double membrane vesicle viral factory outer membrane],pp1ab-nsp4 [double membrane vesicle viral factory outer membrane],nsp6 [double membrane vesicle viral factory outer membrane],pp1ab-nsp6 [double membrane vesicle viral factory outer membrane],pp1a-nsp6 [double membrane vesicle viral factory outer membrane]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,RTC binds SARS-CoV-1 genomic RNA complement (minus strand),R-HSA-9685597,"[m7G(5')pppAm-capped SARS-CoV-1 genomic RNA complement (minus strand) [cytosol],RTC [double membrane vesicle viral factory outer membrane]]",[SARS-CoV-1 gRNA complement (minus strand):RTC [double membrane vesicle viral factory outer membrane]],[],"Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,SARS-CoV-1 gRNA:RTC:nascent RNA minus strand binds RTC inhibitors,R-HSA-9687388,"[SARS-CoV-1 gRNA:RTC:nascent RNA minus strand [double membrane vesicle viral factory outer membrane],RTC inhibitors [double membrane vesicle viral factory outer membrane]]",[SARS-CoV-1 gRNA:RTC:nascent RNA minus strand:RTC inhibitors [double membrane vesicle viral factory outer membrane]],[],"Jassal, B"
Replication of the SARS-CoV-1 genome,nsp12 misincorporates a nucleotide in nascent RNA minus strand,R-HSA-9682563,"[NTP [cytosol],SARS-CoV-1 gRNA:RTC:nascent RNA minus strand [double membrane vesicle viral factory outer membrane]]","[PPi [cytosol],SARS coronavirus gRNA:RTC:nascent RNA minus strand with mismatched nucleotide [double membrane vesicle viral factory outer membrane]]","[SARS coronavirus gRNA:RTC:RNA primer [double membrane vesicle viral factory outer membrane],SARS-CoV-1 gRNA:RTC [double membrane vesicle viral factory outer membrane],RTC [double membrane vesicle viral factory outer membrane],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol],nsp15 hexamer [cytosol],pp1ab-nsp15 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol],nsp10:nsp14 [cytosol],nsp10 [cytosol],pp1a-nsp10 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp14 [cytosol],nsp7:nsp8:nsp12 [cytosol],nsp8 [cytosol],pp1a-nsp8 [cytosol],pp1ab-nsp8 [cytosol],nsp7:nsp8 [cytosol],nsp7 [cytosol],pp1ab-nsp7 [cytosol],pp1a-nsp7 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp13 [cytosol],nsp16:nsp10 [cytosol],pp1ab-nsp16 [cytosol],nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane],nsp3 [double membrane vesicle viral factory outer membrane],pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],pp1a-nsp3 [double membrane vesicle viral factory outer membrane],nsp4 [double membrane vesicle viral factory outer membrane],pp1a-nsp4 [double membrane vesicle viral factory outer membrane],pp1ab-nsp4 [double membrane vesicle viral factory outer membrane],nsp6 [double membrane vesicle viral factory outer membrane],pp1ab-nsp6 [double membrane vesicle viral factory outer membrane],pp1a-nsp6 [double membrane vesicle viral factory outer membrane],m7G(5')pppAm-capped, polyadenylated SARS-CoV-1 genomic RNA (plus strand) [cytosol],RNA primer [cytosol],SARS coronavirus gRNA:RTC:RNA primer:RTC inhibitors [double membrane vesicle viral factory outer membrane],RTC inhibitors [double membrane vesicle viral factory outer membrane],NHC [double membrane vesicle viral factory outer membrane],remdesivir [double membrane vesicle viral factory outer membrane]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,Replication transcription complex binds SARS-CoV-1 genomic RNA,R-HSA-9681314,"[m7GpppA-capped SARS-CoV-1 genomic RNA (plus strand) [cytosol],RTC [double membrane vesicle viral factory outer membrane]]",[SARS coronavirus gRNA with secondary structure:RTC [double membrane vesicle viral factory outer membrane]],[],"Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,RTC completes synthesis of the minus strand genomic RNA complement,R-HSA-9682465,"[SARS-CoV-1 gRNA:RTC:nascent RNA minus strand [double membrane vesicle viral factory outer membrane],NTP [cytosol]]","[SARS-CoV-1 genomic RNA complement (minus strand) [cytosol],PPi [cytosol],m7G(5')pppAm-capped, polyadenylated SARS-CoV-1 genomic RNA (plus strand) [cytosol],RTC [double membrane vesicle viral factory outer membrane]]","[SARS-CoV-1 gRNA:RTC:nascent RNA minus strand [double membrane vesicle viral factory outer membrane],SARS-CoV-1 nascent genomic RNA complement (minus strand) [cytosol],SARS-CoV-1 gRNA:RTC [double membrane vesicle viral factory outer membrane],RTC [double membrane vesicle viral factory outer membrane],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol],nsp15 hexamer [cytosol],pp1ab-nsp15 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol],nsp10:nsp14 [cytosol],nsp10 [cytosol],pp1a-nsp10 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp14 [cytosol],nsp7:nsp8:nsp12 [cytosol],nsp8 [cytosol],pp1a-nsp8 [cytosol],pp1ab-nsp8 [cytosol],nsp7:nsp8 [cytosol],nsp7 [cytosol],pp1ab-nsp7 [cytosol],pp1a-nsp7 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp13 [cytosol],nsp16:nsp10 [cytosol],pp1ab-nsp16 [cytosol],nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane],nsp3 [double membrane vesicle viral factory outer membrane],pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],pp1a-nsp3 [double membrane vesicle viral factory outer membrane],nsp4 [double membrane vesicle viral factory outer membrane],pp1a-nsp4 [double membrane vesicle viral factory outer membrane],pp1ab-nsp4 [double membrane vesicle viral factory outer membrane],nsp6 [double membrane vesicle viral factory outer membrane],pp1ab-nsp6 [double membrane vesicle viral factory outer membrane],pp1a-nsp6 [double membrane vesicle viral factory outer membrane],m7G(5')pppAm-capped, polyadenylated SARS-CoV-1 genomic RNA (plus strand) [cytosol],SARS-CoV-1 gRNA:RTC:nascent RNA minus strand:RTC inhibitors [double membrane vesicle viral factory outer membrane],RTC inhibitors [double membrane vesicle viral factory outer membrane],NHC [double membrane vesicle viral factory outer membrane],remdesivir [double membrane vesicle viral factory outer membrane]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA (plus strand),R-HSA-9684032,"[m7GpppA-capped SARS-CoV-1 genomic RNA (plus strand) [cytosol],S-adenosyl-L-methionine [cytosol]]","[m7G(5')pppAm-capped SARS-CoV-1 genomic RNA (plus strand) [cytosol],S-adenosyl-L-homocysteine [cytosol]]","[RTC [double membrane vesicle viral factory outer membrane],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol],nsp15 hexamer [cytosol],pp1ab-nsp15 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol],nsp10:nsp14 [cytosol],nsp10 [cytosol],pp1a-nsp10 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp14 [cytosol],nsp7:nsp8:nsp12 [cytosol],nsp8 [cytosol],pp1a-nsp8 [cytosol],pp1ab-nsp8 [cytosol],nsp7:nsp8 [cytosol],nsp7 [cytosol],pp1ab-nsp7 [cytosol],pp1a-nsp7 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp13 [cytosol],nsp16:nsp10 [cytosol],pp1ab-nsp16 [cytosol],nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane],nsp3 [double membrane vesicle viral factory outer membrane],pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],pp1a-nsp3 [double membrane vesicle viral factory outer membrane],nsp4 [double membrane vesicle viral factory outer membrane],pp1a-nsp4 [double membrane vesicle viral factory outer membrane],pp1ab-nsp4 [double membrane vesicle viral factory outer membrane],nsp6 [double membrane vesicle viral factory outer membrane],pp1ab-nsp6 [double membrane vesicle viral factory outer membrane],pp1a-nsp6 [double membrane vesicle viral factory outer membrane]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,nsp13 helicase melts secondary structures in SARS-CoV-1 genomic RNA template,R-HSA-9682695,"[SARS coronavirus gRNA with secondary structure:RTC [double membrane vesicle viral factory outer membrane],ATP [cytosol]]","[Pi [cytosol],ADP [cytosol],SARS-CoV-1 gRNA:RTC [double membrane vesicle viral factory outer membrane]]","[SARS coronavirus gRNA with secondary structure:RTC:nascent RNA minus strand [double membrane vesicle viral factory outer membrane],SARS-CoV-1 nascent genomic RNA complement (minus strand) [cytosol],SARS coronavirus gRNA with secondary structure:RTC [double membrane vesicle viral factory outer membrane],RTC [double membrane vesicle viral factory outer membrane],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol],nsp15 hexamer [cytosol],pp1ab-nsp15 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol],nsp10:nsp14 [cytosol],nsp10 [cytosol],pp1a-nsp10 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp14 [cytosol],nsp7:nsp8:nsp12 [cytosol],nsp8 [cytosol],pp1a-nsp8 [cytosol],pp1ab-nsp8 [cytosol],nsp7:nsp8 [cytosol],nsp7 [cytosol],pp1ab-nsp7 [cytosol],pp1a-nsp7 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp13 [cytosol],nsp16:nsp10 [cytosol],pp1ab-nsp16 [cytosol],nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane],nsp3 [double membrane vesicle viral factory outer membrane],pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],pp1a-nsp3 [double membrane vesicle viral factory outer membrane],nsp4 [double membrane vesicle viral factory outer membrane],pp1a-nsp4 [double membrane vesicle viral factory outer membrane],pp1ab-nsp4 [double membrane vesicle viral factory outer membrane],nsp6 [double membrane vesicle viral factory outer membrane],pp1ab-nsp6 [double membrane vesicle viral factory outer membrane],pp1a-nsp6 [double membrane vesicle viral factory outer membrane],m7GpppA-capped SARS-CoV-1 genomic RNA (plus strand) [cytosol]]","Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,nsp13 binds DDX5,R-HSA-9682631,"[pp1ab-nsp13 [cytosol],DDX5 [cytosol]]",[nsp13:DDX5 [cytosol]],[],"Orlic-Milacic, M"
Replication of the SARS-CoV-1 genome,SARS coronavirus gRNA:RTC:RNA primer binds RTC inhibitors,R-HSA-9680262,"[SARS coronavirus gRNA:RTC:RNA primer [double membrane vesicle viral factory outer membrane],RTC inhibitors [double membrane vesicle viral factory outer membrane]]",[SARS coronavirus gRNA:RTC:RNA primer:RTC inhibitors [double membrane vesicle viral factory outer membrane]],[],"Jassal, B"
