PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities
ISG15 antiviral mechanism,Activation of ISG15 by UBA7 E1 ligase,R-HSA-1169397,"[ATP [cytosol],UBA7 [cytosol],ISG15 [cytosol]]","[PPi [cytosol],ISG15:UBA7 [cytosol],AMP [cytosol]]",[UBA7 [cytosol]]
Interleukin-20 family signaling,IL22:IL22RA1:JAK1 binds IL10RB:TYK2,R-HSA-8854645,"[IL10RB:TYK2 [plasma membrane],IL22:IL22RA1:JAK1 [plasma membrane]]",[IL22:IL22RA1:JAK1:IL10RB:TYK2 [plasma membrane]],[]
TRIF-mediated programmed cell death,Caspase-8 processing within TLR4 complex,R-HSA-2562564,[activated TLR4:TRIF:RIP1:FADD:pro-caspase-8 [endosome membrane]],"[activated TLR4:TRIF:RIP1:FADD [endosome membrane],active caspase-8  [cytosol]]","[activated TLR4:TRIF:RIP1:FADD:pro-caspase-8 [endosome membrane],CASP8(1-479) [cytosol],RIPK1 [cytosol],TICAM1:TRAM:TLR4:LY96:LPS:CD14 [endosome membrane],TRAM:TLR4:LY96:LPS:CD14 [endosome membrane],TLR4:LY96:LPS:CD14 [endosome membrane],GPIN-CD14(20-345) [endosome membrane],TLR4:LY96 [endosome membrane],TLR4 [endosome membrane],LY96 [endosome membrane],LPS [endosome lumen],MyrG-p-S16-TICAM2 [endosome membrane],TICAM1 [cytosol],FADD [cytosol]]"
Regulation of actin dynamics for phagocytic cup formation,WASPs or WAVEs activate the ARP2/3 complex,R-HSA-442592,"[WAVE2, WASP, N-WASP [plasma membrane],ARP2/3 complex (ATP bound) [cytosol],G-actin [cytosol]]","[WAVE2, WASP, N-WASP:ARP2/3 complex:G-actin [cytosol]]",[]
Interleukin-4 and Interleukin-13 signaling,"Expression of NDN,TP53",R-HSA-6789960,"[NDN gene, TP53 gene [nucleoplasm]]","[NDN, TP53 [nucleoplasm]]","[p-Y705-STAT3 dimer [nucleoplasm],p-Y705-STAT3 [nucleoplasm]]"
Interleukin-2 signaling,STAT5 dimers translocate to the nucleus,R-HSA-507937,[p-STAT5 dimer [cytosol]],[p-STAT5 dimer [nucleoplasm]],[]
FCERI mediated NF-kB activation,Ubiquitination of NEMO by TRAF6,R-HSA-202534,"[K63polyUb [cytosol],UBE2N:UBE2V1 [cytosol],p-S177,S181-IKKB:IKKA:NEMO [cytosol]]","[UBE2N:UBE2V1 [cytosol],p-S177,S181-IKKB:IKKA:pUb-NEMO [cytosol]]","[Ub-TRAF6 trimer bound to CBM complex [plasma membrane],MALT1 trimer bound to Bcl10 and CARMA1 trimer [plasma membrane],MALT1 trimer [cytosol],MALT1 [cytosol],Bcl10 trimer bound to CARMA1 trimer [plasma membrane],p-BCL10 [cytosol],CARMA1 trimer [plasma membrane],PDK1:PIP2,PIP3 [plasma membrane],PDPK1 [plasma membrane],PIP3, PI(3,4)P2 [plasma membrane],PI(3,4)P2 [plasma membrane],PI(3,4,5)P3 [plasma membrane],p-S552-CARD11 [cytosol],K63polyUb-TRAF6 [cytosol]]"
Negative regulators of DDX58/IFIH1 signaling,Interaction of PIN1 with p-IRF3,R-HSA-936380,"[PIN1 [nucleoplasm],p-IRF3:p-IRF3 [nucleoplasm]]",[p-IRF3 dimer:PIN1 [nucleoplasm]],[]
Macroautophagy,The phagophore extends from the PIP3-enriched structure,R-HSA-5682385,[ATG14:PIK3C3:PIK3R4:p-S15-BECN1 [endoplasmic reticulum membrane]],[ATG14:PIK3C3:PIK3R4:p-S15-BECN1 [phagophore assembly site membrane]],"[ATG9A,(ATG9B) [phagophore assembly site membrane],ATG9B [phagophore assembly site membrane],ATG9A [phagophore assembly site membrane]]"
Regulation of Complement cascade,CD46 binds C3b,R-HSA-1006143,"[CD46 [plasma membrane],Cell surface:C3b [plasma membrane]]",[CD46:Cell surface:C3b [plasma membrane]],[]
Regulation of Complement cascade,CD55 (DAF) promotes C3bBb/C4bC2a dissociation,R-HSA-977619,[CD55:C3 convertase complexes [plasma membrane]],"[C2a [extracellular region],CD55:C3b [plasma membrane],CD55:C4b [plasma membrane],CFB(260-764) [extracellular region]]",[]
ER-Phagosome pathway,"Transport of SEC22B, TAP and PLC from ER to ERGIC",R-HSA-8863914,"[TAP [endoplasmic reticulum membrane],TAPBP [integral component of lumenal side of endoplasmic reticulum membrane],CALR [integral component of lumenal side of endoplasmic reticulum membrane],SEC22B [endoplasmic reticulum membrane]]","[TAPBP [endoplasmic reticulum-Golgi intermediate compartment membrane],CALR [endoplasmic reticulum-Golgi intermediate compartment membrane],TAP [endoplasmic reticulum-Golgi intermediate compartment membrane],SEC22B [endoplasmic reticulum-Golgi intermediate compartment membrane]]",[]
CLEC7A (Dectin-1) signaling,NFKB1:RELA translocates from the cytosol to the nucleus,R-HSA-2730894,[NFKB1(1-433):RELA [cytosol]],[NFKB1(1-433):RELA [nucleoplasm]],[]
Growth hormone receptor signaling,PTP1B dephosphorylates JAK2,R-HSA-1169210,"[H2O [cytosol],Growth Hormone: Tyrosine phosphorylated Growth Hormone Receptor-p(Y1007)-JAK2 dimer:SHP2 [plasma membrane]]","[Pi [cytosol],Growth Hormone: Tyrosine phosphorylated Growth Hormone Receptor-JAK2 dimer:SHP2 [plasma membrane]]","[Growth Hormone: Tyrosine phosphorylated Growth Hormone Receptor-p(Y1007)-JAK2 dimer:SHP2 [plasma membrane],PTPN1 [cytosol],Growth Hormone: Tyrosine phosphorylated Growth Hormone Receptor-p(Y1007)-JAK2 dimer [plasma membrane],Growth Hormone [extracellular region],GH1 [extracellular region],GH2 [extracellular region],Tyrosine phosphorylated Growth Hormone Receptor:p(Y1007)-JAK2 dimer [plasma membrane],Tyrosine phosphorylated Growth Hormone Receptor:p(Y1007)-JAK2 [plasma membrane],p-5Y-GHR(19-638) [plasma membrane],p-Y1007-JAK2 [cytosol]]"
Interleukin-35 Signalling,p-STAT4 dissociates from IL12RB2:IL12RB2 receptor,R-HSA-8983878,[IL35:(IL12RB2:p-JAK2) dimer:p-STAT4 [plasma membrane]],"[IL35:(IL12RB2:p-JAK2) dimer [plasma membrane],p-STAT4 [cytosol]]",[]
ISG15 antiviral mechanism,Translocation of Influenza A virus nonstructural protein 1 (NS1A) into the nucleus,R-HSA-1176059,"[Importin [cytosol],NS1 dimer [cytosol]]",[NS1 homodimer:Importin [nucleoplasm]],"[Nuclear Pore Complex (NPC) [nuclear envelope],Nup107-160 complex [cytosol],NUP98-5 [cytosol],SEH1L-1 [cytosol],NUP107 [cytosol],NUP43 [cytosol],NUP160 [cytosol],NUP37 [cytosol],NUP85 [cytosol],NUP133 [cytosol],SEC13 [cytosol],TPR [nucleoplasm],NUP153 [nucleoplasm],NUP88 [cytosol],NUP188 [nuclear envelope],NUP214 [cytosol],NDC1 [nuclear envelope],NUP210 [nuclear envelope],POM121 [nuclear envelope],POM121C [nuclear envelope],Nup93 complex [nuclear envelope],NUP35 [nuclear envelope],NUP93 [nuclear envelope],NUP155 [nuclear envelope],NUP205 [nuclear envelope],SEH1L-2 [nuclear envelope],RAE1 [nuclear envelope],NUP98 [nuclear envelope],NUP98-3 [nuclear envelope],NUP98-4 [nuclear envelope],Nup62 Complex [nuclear envelope],NUP62 [nuclear envelope],NUP58 [nuclear envelope],NUP58-2 [nuclear envelope],NUP58-1 [nuclear envelope],NUP54 [nuclear envelope],NUP50 [nucleoplasm],AAAS [nuclear envelope],RANBP2 [cytosol],NUPL2 [cytosol],ISGylated NS1 [cytosol],NS1 dimer [cytosol],NS1 [cytosol],ISG15 [cytosol]]"
Interleukin-2 signaling,Interleukin-2 receptor alpha:IL2 binds Interleukin-2 receptor beta,R-HSA-450027,"[IL2:IL2RA [plasma membrane],IL2RB:JAK1 [plasma membrane]]",[IL2:IL2RA:IL2RB:JAK1 [plasma membrane]],[]
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,LILRs interact with MHC Class I,R-HSA-199043,"[LILR set [plasma membrane],LILR-interacting MHC Class I molecules [plasma membrane]]",[MHC Class I interacting with LILRs [plasma membrane]],[]
FCGR3A-mediated phagocytosis,"WIP binds WASP,N-WASP, activating them",R-HSA-2197691,"[WIP family proteins [cytosol],SH3 domain proteins [cytosol],CDC42:GTP:WASP/N-WASP [plasma membrane]]",[CDC42:GTP:WASP/N-WASP:WIP:SH3 proteins [plasma membrane]],[]
Interleukin-10 signaling,IL10 positively regulates plasma membrane-associated inflammatory mediators,R-HSA-8937654,[IL10-upregulated genes for plasma membrane proteins [nucleoplasm]],[IL10-upregulated plasma membrane proteins [plasma membrane]],[IL10 [extracellular region]]
Other interleukin signaling,IL34 dimer:SDC1 binds CSF1R,R-HSA-9009554,"[IL34 dimer:SDC1 [plasma membrane],CSF1R [plasma membrane]]",[IL34 dimer:SDC1:CSF1R [plasma membrane]],[]
Cross-presentation of soluble exogenous antigens (endosomes),Movement of clathrin coated vesicles into early endosome,R-HSA-1236955,[MR:soluble antigen [clathrin-coated endocytic vesicle membrane]],[MR:soluble antigen [early endosome membrane]],[]
The NLRP3 inflammasome,NLRP3 oligomerizes via NACHT domains,R-HSA-1296421,[NLRP3 elicitors:NLRP3 [cytosol]],[NLRP3 elicitors:NLRP3 oligomer [cytosol]],[]
Activation of NF-kappaB in B cells,"PRKCB (Protein kinase C beta, PKC-beta) binds diacylglycerol and phosphatidylserine",R-HSA-1168373,"[PS [plasma membrane],DAG [plasma membrane],PRKCB [cytosol],Ca2+ [cytosol]]",[Activated PKC beta [plasma membrane]],[]
RHO GTPases activate PAKs,PAK1 phosphorylates LIMK1,R-HSA-2029460,"[LIMK1 [cytosol],ATP [cytosol]]","[p-T508-LIMK1 [cytosol],ADP [cytosol]]","[p-S144,T423-PAK1 [cytosol]]"
"Interleukin-3, Interleukin-5 and GM-CSF signaling",GM-CSF receptor alpha:GM-CSF binds Bc,R-HSA-913371,"[GM-CSF:GM-CSF receptor alpha subunit [plasma membrane],IL3RB:JAK2 [plasma membrane]]",[GM-CSF:GM-CSF receptor alpha subunit:Common beta chain:JAK2 [plasma membrane]],[]
Antimicrobial peptides,"REG3A,REG3G binds bacterial peptidoglycan",R-HSA-6801808,"[GlcNac-(1-->4)MurNAc-L-Ala-gamma-D-Glu-L-Lys-(D-Ala)2 [cell wall],REG3A(38-175), REG3G(38-175) [extracellular region]]","[REG3A(38-175), REG3G(38-175):peptidoglycan [extracellular region]]",[]
Macroautophagy,AMPK (complex) phosphorylates ULK1 (complex),R-HSA-5665868,"[p-AMPK heterotrimer:AMP:ULK1:ATG13:RB1CC1:ATG101 [cytosol],ATP [cytosol]]","[ADP [cytosol],p-AMPK heterotrimer:AMP:p-S317,467,556,638,T575-ULK1:ATG13:RB1CC1:ATG101 [cytosol]]","[p-AMPK heterotrimer:AMP:ULK1:ATG13:RB1CC1:ATG101 [cytosol],p-AMPK heterotrimer:AMP [cytosol],AMP [cytosol],p-AMPK heterotrimer [cytosol],p-AMPK alpha [cytosol],p-T183-PRKAA1 [cytosol],p-T172-PRKAA2 [cytosol],AMPK beta [cytosol],PRKAB1 [cytosol],PRKAB2 [cytosol],AMPK gamma [cytosol],PRKAG2 [cytosol],PRKAG1 [cytosol],PRKAG3 [cytosol],ULK1:ATG13:RB1CC1:ATG101 [cytosol],ATG101 [cytosol],ULK1 [cytosol],ATG13 [cytosol],RB1CC1 [cytosol]]"
Downstream TCR signaling,"p-S177,S181-IKKB:IKKA:pUb-NEMO phosphorylates IkB-alpha:NF-kB",R-HSA-202541,"[ATP [cytosol],IkB(alpha):NF-kB complex [cytosol]]","[ADP [cytosol],p-S32,36-IkB-alpha:NF-kB complex [cytosol]]","[p-S177,S181-IKKB:IKKA:pUb-NEMO [cytosol],K63polyUb-NEMO [cytosol],p-S177,S181-IKBKB [cytosol],CHUK [cytosol]]"
Interleukin-4 and Interleukin-13 signaling,JAK1 binds IL4R in IL13-bound IL13R type II,R-HSA-6786110,"[JAK1 [cytosol],IL13:IL13RA:TYK2:IL4R:JAK2 [plasma membrane]]",[IL13:IL13RA:TYK2:IL4R:JAK2:JAK1 [plasma membrane]],[]
Neutrophil degranulation,Exocytosis of secretory granule lumen proteins,R-HSA-6798748,[Secretory granule lumen proteins [secretory granule lumen]],[Secretory granule lumen proteins [extracellular region]],[]
The NLRP3 inflammasome,P2X7 forms oligomeric non-selective cation channels,R-HSA-877158,[ATP:P2X7 [plasma membrane]],[ATP:P2X7 oligomer [plasma membrane]],[]
Antimicrobial peptides,RNASEs bind bacterial phospholipids,R-HSA-8948027,"[RNASE3,RNASE7,RNASE6,(RNASE8) [extracellular region],Anionic phospholipids:microbial cell surface [plasma membrane]]","[RNASEs 3,6,7,(8):anionic phospholipids [extracellular region]]",[]
Other interleukin signaling,IFNL1 binds IL10RB:TYK2 and IFNLR1:JAK1,R-HSA-448661,"[IL10RB:TYK2 [plasma membrane],IFNLR1:JAK1 [plasma membrane],IFNL1 [extracellular region]]",[IFNL1:IFNLR1:JAK1:IL10RB:TYK2 [plasma membrane]],[]
Interleukin-1 signaling,TAK1 is activated within the TAK1 complex,R-HSA-450187,[hp-IRAK1:K6-poly-Ub oligo-TRAF6:TAK1 complex [cytosol]],[hp-IRAK1:K63polyUboligo-TRAF6:Activated TAK1 complex [cytosol]],[]
NIK-->noncanonical NF-kB signaling,p52:RELB translocates from cytosol to nucleus,R-HSA-5607741,[p52:RELB [cytosol]],[p52:RELB [nucleoplasm]],[]
Integrin cell surface interactions,MADCAM1-1 binds Integrin alpha4beta7,R-HSA-199032,"[MADCAM1-1 [plasma membrane],Integrin alpha4beta7 [plasma membrane]]",[Integrin alpha4beta7:MADCAM1 [plasma membrane]],[]
Growth hormone receptor signaling,PTP1B binds the GH receptor complex,R-HSA-1168445,"[Growth Hormone: Tyrosine phosphorylated Growth Hormone Receptor-p(Y1007)-JAK2 dimer [plasma membrane],PTPN1 [cytosol]]",[Growth Hormone: Tyrosine phosphorylated Growth Hormone Receptor-p(Y1007)-JAK2 dimer:SHP2 [plasma membrane]],[]
Alternative complement activation,C3b binds to cell surface,R-HSA-981539,"[C3b [extracellular region],Cell surface [plasma membrane]]",[Cell surface:C3b [plasma membrane]],[]
Translocation of ZAP-70 to Immunological synapse,PTPN22 dephosphorylates ZAP70,R-HSA-8855381,"[H2O [cytosol],phospho tyrosine ZAP-70 [plasma membrane]]","[Pi [cytosol],ZAP-70 bound to phosphorylated ITAM motifs [plasma membrane]]",[PTPN22 [cytosol]]
Regulation of actin dynamics for phagocytic cup formation,"(WASPs, WAVE):G-actin:ARP2/3 binds F-actin",R-HSA-2029466,"[F-actin [cytosol],WAVE2, WASP, N-WASP:ARP2/3 complex:G-actin [cytosol]]",[Mother filament:branching complex [cytosol]],[]
DAP12 signaling,Phosphorylation of BTK by p-SYK,R-HSA-2424484,"[p-5Y-LAT:GRB2:SOS1:GADS:p-Y113,Y128,Y145-SLP-76:PLCG:VAV:BTK:PIP3 [plasma membrane],ATP [cytosol]]","[p-5Y-LAT:GRB2:SOS1:GADS:p-3Y-SLP-76:PLCG:VAV:p-Y223,Y551-BTK [plasma membrane],ADP [cytosol]]","[DAP12 Receptors:p-DAP12:p-6Y-SYK [plasma membrane],DAP12 receptors:p-Y91,Y102-DAP12 dimer [plasma membrane],DAP12 receptors [plasma membrane],CD94:NKG2C:HLA-E [plasma membrane],HLA-E [plasma membrane],HLA class I histocompatibility antigen, E alpha chain precursor [plasma membrane],B2M(21-119) [plasma membrane],CD94:NKG2C [plasma membrane],KLRD1 [plasma membrane],KLRC2 [plasma membrane],TREM2 [plasma membrane],NKG2D dimer [plasma membrane],KLRK1 [plasma membrane],p-Y91,Y102-DAP12 dimer [plasma membrane],p-Y91,Y102-TYROBP [plasma membrane],FYN,LCK [cytosol],FYN [cytosol],LCK [cytosol],p-6Y-SYK [cytosol]]"
MAP3K8 (TPL2)-dependent MAPK1/3 activation,IKBKB phosphorylates NFkB p105 within the NFkB p105:TPL2:ABIN2 complex,R-HSA-5684267,"[ATP [cytosol],NFKB1:MAP3K8:TNIP2 [cytosol]]","[p-S927,S932-NFKB1(1-968):MAP3K8:TNIP2 [cytosol],ADP [cytosol]]","[IKBKG:p-S176,S180-CHUK:p-S177,S181-IKBKB [cytosol],p-S176,S180-CHUK [cytosol],p-S177,S181-IKBKB [cytosol],IKBKG [cytosol]]"
Interleukin-20 family signaling,"p-STAT1,p-STAT3 dissociate from IL24:IL20RA:p-Y1022,Y1023-JAK1:IL20RB:p-STAT1, p-STAT3",R-HSA-8987270,"[IL24:IL20RA:p-Y1022,Y1023-JAK1:IL20RB:p-STAT1,p-STAT3 [plasma membrane]]","[p-STAT1, p-STAT3 [cytosol],IL24:IL20RA:p-Y1022,Y1023-JAK1:IL20RB [plasma membrane]]",[]
Growth hormone receptor signaling,Growth hormone receptor binds JAK2,R-HSA-982792,"[JAK2 [cytosol],GHR(19-638) [plasma membrane]]",[Growth Hormone Receptor:JAK2 [plasma membrane]],[]
Events associated with phagocytolytic activity of PMN cells,Myeloperoxidase (MPO) binds to the bacterial cell surface,R-HSA-6789136,"[Cell surface [plasma membrane],MPO:ferriheme [phagocytic vesicle lumen]]",[MPO:ferriheme:bacterial cell surface [phagocytic vesicle lumen]],[]
Interleukin-20 family signaling,"IFNL1:IFNLR1:JAK1:IL10RB:TYK2 phosphorylates JAK1,TYK2",R-HSA-8987202,"[IFNL1:IFNLR1:JAK1:IL10RB:TYK2 [plasma membrane],ATP [cytosol]]","[ADP [cytosol],IFNL1:IFNLR1:p-JAK1:IL10RB:p-TYK2 [plasma membrane]]","[IFNL1:IFNLR1:JAK1:IL10RB:TYK2 [plasma membrane],IFNL1 [extracellular region],IFNLR1:JAK1 [plasma membrane],IFNLR1 [plasma membrane],JAK1 [cytosol],IL10RB:TYK2 [plasma membrane],IL10RB [plasma membrane],TYK2 [cytosol]]"
Negative regulation of MAPK pathway,PP5 dephosphorylates RAF1 S338,R-HSA-5675433,"[H2O [cytosol],p21RAS:GTP:activated RAF1 homo/heterodimer [plasma membrane]]","[Pi [cytosol],p21RAS:GTP:dephosphorylated RAF1 homo/heterodimer [plasma membrane]]",[PPP5C [cytosol]]
Regulation by TREX1,Viral DNA cleavage by TREX1,R-HSA-3245943,"[H2O [cytosol],TREX1:viral DNA [endoplasmic reticulum membrane]]","[2'-deoxyguanosine 5'-monophosphate [cytosol],TREX1 dimer [endoplasmic reticulum membrane],2'-deoxyadenosine 5'-monophosphate [cytosol],TMP [cytosol],dCMP [cytosol]]","[TREX1:viral DNA [endoplasmic reticulum membrane],Mg2+ [cytosol],viral DNA with 3' sticky ends [cytosol],viral plus strand DNA with sticky 3' end [cytosol],viral minus strand DNA with sticky 3' end [cytosol],TREX1 dimer [endoplasmic reticulum membrane],TREX1 [endoplasmic reticulum membrane]]"
Butyrophilin (BTN) family interactions,BTN3A1 binds prenylated phosphoantigens,R-HSA-8851038,"[phosphoantigens (pAgs) [extracellular region],BTN3A1(BTN3A2,BTN3A3) [plasma membrane]]","[BTN3A1(BTN3A2,BTN3A3):pAgs [plasma membrane]]",[]
Interleukin-15 signaling,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:p-Y-SHC1 binds GRB2,R-HSA-8983394,"[GRB2 [cytosol],IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:p-Y-SHC1 [plasma membrane]]",[IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:p-Y-SHC1:GRB2 [plasma membrane]],[]
Purinergic signaling in leishmaniasis infection,CTSG cleaves CASP1(1-404),R-HSA-448678,[CASP1(1-404) [cytosol]],"[CASP1(1-119) [cytosol],CASP1(120-297) [cytosol],CASP1(317-404) [cytosol],CASP1(298-316) [cytosol]]",[CTSG [cytosol]]
Beta defensins,"Beta-defensins 1, 4A and 103 bind CCR6",R-HSA-1471338,"[Beta defensins 1,4A,103 [extracellular region],CCR6 [plasma membrane]]","[Beta-defensins 1,4A,103:CCR6 [plasma membrane]]",[]
Interleukin-37 signaling,IL37 binds 2x(CASP1(120-197):CASP1(317-404)),R-HSA-9012542,"[IL37 [cytosol],Caspase-1 tetramer [cytosol]]",[IL37:2x(CASP1(120-197):CASP1(317-404)) [cytosol]],[]
Interleukin-7 signaling,STAT3 is phosphorylated by TSLP:IL7R:CRLF2:STAT3 complex,R-HSA-8983059,"[ATP [cytosol],IL7R:TSLP:CRLF2:STAT3 [plasma membrane]]","[ADP [cytosol],IL7R:TSLP:CRLF2:p-STAT3 [plasma membrane]]","[IL7R:TSLP:CRLF2:STAT3 [plasma membrane],IL7R:TSLP:CRLF2 [plasma membrane],CRLF2:IL7R [plasma membrane],CRLF2 [plasma membrane],IL7R [plasma membrane],TSLP [extracellular region],STAT3 [cytosol]]"
The IPAF inflammasome,IPAF is activated,R-HSA-874084,"[NLRC4 [cytosol],IPAF elicitors [cytosol]]",[IPAF elicitors:NLRC4 [cytosol]],[]
Macroautophagy,Rheb in the mTORC1 complex hydrolyses GTP,R-HSA-5672017,[mTORC1:Ragulator:Rag:GNP:RHEB:GTP [lysosomal membrane]],[mTORC1:Ragulator:Rag:GNP:RHEB:GDP [lysosomal membrane]],"[mTORC1:Ragulator:Rag:GNP:RHEB:GTP [lysosomal membrane],mTORC1:Ragulator:RagA,B:GTP:RagC,D:GDP:SLC38A9 [lysosomal membrane],mTORC1 [cytosol],RPTOR [cytosol],MTOR [cytosol],MLST8 [cytosol],Ragulator:RagA,B:GTP:RagC,D:GDP:SLC38A9 [lysosomal membrane],SLC38A9 [lysosomal membrane],Ragulator:RagA,B:GTP:RagC,D:GDP [lysosomal membrane],Ragulator [lysosomal membrane],LAMTOR5 [lysosomal membrane],LAMTOR1 [lysosomal membrane],LAMTOR2 [lysosomal membrane],LAMTOR3 [lysosomal membrane],LAMTOR4 [lysosomal membrane],RagA,B:GTP:RagC,D:GDP [cytosol],RRAGC,RRAGD:GDP [cytosol],RRAGC:GDP [cytosol],RRAGC [cytosol],GDP [cytosol],RRAGD:GDP [cytosol],RRAGD [cytosol],RRAGA, RRAGB:GTP [cytosol],RRAGA:GTP [cytosol],GTP [cytosol],RRAGA [cytosol],RRAGB:GTP [cytosol],RRAGB [cytosol],RHEB:GTP [lysosomal membrane],RHEB [lysosomal membrane],TSC1:p-S1387-TSC2 [cytosol],TSC1 [cytosol],p-S1387-TSC2 [cytosol]]"
Interleukin-4 and Interleukin-13 signaling,p-Y-STATs translocate to nucleus,R-HSA-6788623,"[p-Y701-STAT1 dimer,p-Y705-STAT3 dimer,p-Y641-STAT6 dimer [cytosol]]","[p-Y701-STAT1 dimer,p-Y705-STAT3 dimer,p-Y641-STAT6 dimer [nucleoplasm]]",[]
The NLRP3 inflammasome,NLRP3 activation by small molecules,R-HSA-1306876,"[NLRP3:SUGT1:HSP90 [cytosol],NLRP3 elicitor small molecules [cytosol]]","[SUGT1:HSP90 [cytosol],NLRP3 elicitor small molecules:NLRP3 [cytosol]]",[]
Interleukin-7 signaling,IL7 binds IL7R:JAK1,R-HSA-449978,"[IL7 [extracellular region],IL7R:JAK1 [plasma membrane]]",[IL7:IL7R:JAK1 [plasma membrane]],[]
MyD88 cascade initiated on plasma membrane,First phosphorylation of IRAK1 by IRAK4 bound to MyD88:activated TLR,R-HSA-975878,"[ATP [cytosol],IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10  [plasma membrane]]","[p-IRAK1:p-IRAK4:oligo-MyD88l:activated TLR5 or 10 [plasma membrane],ADP [cytosol]]","[IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10  [plasma membrane],p-S,2T-IRAK4:oligo-MyD88:activated TLR5 or 10 [plasma membrane],p-T342,T345,S346-IRAK4 [plasma membrane],oligo-MyD88:activated TLR5 or 10 [plasma membrane],Activated TLR5 or TLR10 homodimer [plasma membrane],TLR10 homodimer bound to ligand [plasma membrane],TLR10 homodimer [plasma membrane],TLR10 [plasma membrane],Ligand recognized by TLR10 [extracellular region],TLR5 homodimer:bacterial flagellin [plasma membrane],Flagellin [plasma membrane],TLR5 [plasma membrane],MyD88 oligomer [plasma membrane],MYD88 [plasma membrane],IRAK1 [plasma membrane]]"
Downstream TCR signaling,Activation of IKK complex,R-HSA-202500,"[ATP [cytosol],CHUK:IKBKB:IKBKG [cytosol]]","[ADP [cytosol],p-S177,S181-IKKB:IKKA:NEMO [cytosol]]","[TAK1/TAB2 complex bound to TRAF6/CBM complex [plasma membrane],phosphorylated TAK1 bound to TAB2 [cytosol],TAB2 [plasma membrane],p-T184,T187-MAP3K7 [cytosol],Ub-TRAF6 trimer bound to CBM complex [plasma membrane],MALT1 trimer bound to Bcl10 and CARMA1 trimer [plasma membrane],MALT1 trimer [cytosol],MALT1 [cytosol],Bcl10 trimer bound to CARMA1 trimer [plasma membrane],p-BCL10 [cytosol],CARMA1 trimer [plasma membrane],PDK1:PIP2,PIP3 [plasma membrane],PDPK1 [plasma membrane],PIP3, PI(3,4)P2 [plasma membrane],PI(3,4)P2 [plasma membrane],PI(3,4,5)P3 [plasma membrane],p-S552-CARD11 [cytosol],K63polyUb-TRAF6 [cytosol]]"
MyD88:MAL(TIRAP) cascade initiated on plasma membrane,TRAF6 binds to hp- IRAK1,R-HSA-166363,"[TRAF6 [cytosol],p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:TIRAP:activated TLR [plasma membrane]]",[TRAF6:hp-IRAK1:p-IRAK4:oligo-MyD88:TIRAP:activated TLR [plasma membrane]],[]
TICAM1-dependent activation of IRF3/IRF7,Phosphorylation of IRF-3/IRF7 and their release from the activated TLR3 complex ,R-HSA-9013978,"[ATP [cytosol],activated TLR3:TRIF:K63polyUb-TRAF3:K63polyUb-TANK:p-TBK1/p-IKKE:IRF3/IRF7 [endosome membrane]]","[ADP [cytosol],activated TLR3:TRIF:K63polyUb-TRAF3:K63polyUb-TANK:p-TBK1/p-IKKi [endosome membrane],p-4S,T404-IRF3,p-S477,S479-IRF7 [cytosol]]","[activated TLR3:TRIF:K63polyUb-TRAF3:K63polyUb-TANK:p-TBK1/p-IKKE:IRF3/IRF7 [endosome membrane],activated TLR3:TRIF:K63polyUb-TRAF3:K63polyUb-TANK:p-TBK1/p-IKKi [endosome membrane],K63pUb-TANK:K63pUb-TRAF3:TICAM1:TLR3:viral dsRNA [endosome membrane],K63polyUb-TANK [cytosol],K63polyUb-TRAF3:TICAM1:activated TLR3 [endosome membrane],viral dsRNA:TLR3:TICAM1 [endosome membrane],viral dsRNA :TLR3 [endosome membrane],TLR3 ligand [endosome lumen],Rotavirus dsRNA [endosome lumen],Influenza A dsRNA intermediate form [endosome lumen],HCV dsRNA intermediate form [endosome lumen],HBV dsRNA intermediate form [endosome lumen],HSV1 dsRNA intermediate form [endosome lumen],TLR3 [endosome membrane],TICAM1 [endosome membrane],K63polyUb-TRAF3 [cytosol],activated TBK1/IKK epsilon [endosome membrane],p-S172-IKBKE [endosome membrane],p-S172-TBK1 [endosome membrane],IRF3,IRF7 [cytosol],IRF3 [cytosol],IRF7 [cytosol]]"
Phosphorylation of CD3 and TCR zeta chains,PTPN22 dissociates from CSK,R-HSA-8855375,[PTPN22:CSK [cytosol]],"[PTPN22 [cytosol],CSK [cytosol]]",[]
