ReactionID,ReactionName,DiseaseID,DiseaseName
R-HSA-9636439,PtpA:Ub dephosphorylates p-Y133-VPS33B,399,tuberculosis
R-HSA-9636375,SecA2 transports SapM from cytoplasm to cytosol,399,tuberculosis
R-HSA-9636404,LAM translocates from the cell wall to the plasma membrane,399,tuberculosis
R-HSA-9636457,SapM dephosphorylates PI3P,399,tuberculosis
R-HSA-9636461,PtpA binds Ubiquitin,399,tuberculosis
R-HSA-9636396,lpdC binds to CORO1A,399,tuberculosis
R-HSA-9636684,"ndkA dephosphorylates RAB5A:GTP,RAB7A:GTP",399,tuberculosis
R-HSA-9636658,esxA binds PGK1,399,tuberculosis
R-HSA-9636669,esxA binds ENO1,399,tuberculosis
R-HSA-9635424,Rv3364c binds cathepsin G,399,tuberculosis
R-HSA-9636304,Mce3E binds MAPK3,399,tuberculosis
R-HSA-9635446,Rv3654c binds SFPQ,399,tuberculosis
R-HSA-9635461,PtpA dephosphorylates GSK3A,399,tuberculosis
R-HSA-9635609,Rv3655c binds RNF213,399,tuberculosis
R-HSA-9636297,PtpA binds TRIM27,399,tuberculosis
R-HSA-9636296,Mce3E binds MAPK1,399,tuberculosis
R-HSA-9636560,Eis acetylates DUSP16,399,tuberculosis
R-HSA-9636564,SapM binds RAB7A,399,tuberculosis
R-HSA-9635666,esxG:esxH translocates from MTb cytosol to host phagosomal lumen,399,tuberculosis
R-HSA-9637699,CpnT hydrolyses NAD+,399,tuberculosis
R-HSA-9637651,esxA translocates from Mtb cytosol to the host's ER,399,tuberculosis
R-HSA-9637635,esxA binds B2M,399,tuberculosis
R-HSA-9637638,esxA binds TLR2,399,tuberculosis
R-HSA-9637605,PstS1 binds MRC1,399,tuberculosis
R-HSA-9637641,Rv2779c binds TLR2,399,tuberculosis
R-HSA-9672177,PI3K catalyses the phosphorylation of PIP2 to PIP3 downstream of mutant PDGFR,162,cancer
R-HSA-9672176,STAT binds to the mutant PDGFRA receptor,162,cancer
R-HSA-9672164,GRB2:SOS1 complex binds to mutant PDGFR receptor,162,cancer
R-HSA-9672170,SOS-mediated nucleotide exchange of RAS downstream of mutant PDGFR receptors,162,cancer
R-HSA-9672168,Ligand-independent dimerization of PDGFR mutants,162,cancer
R-HSA-9672175,Autophosphorylation of PDGFR mutant dimers,162,cancer
R-HSA-9672172,PI3-kinase binds to mutant PDGFR receptor,162,cancer
R-HSA-9673757,Ligand-independent dimerization of cytosolic PDGFRA and PDGFRB fusion proteins,162,cancer
R-HSA-9673756,Autophosphorylation of cytosolic PDGFRA and PDGFRB fusion proteins,162,cancer
R-HSA-9672163,SOS-mediated nucleotide exchange on RAS downstream of PDGFRA extracellular domain dimers,162,cancer
R-HSA-9672178,PI3-kinase binds to PDGFRA extracellular domain dimers,162,cancer
R-HSA-9672162,PI3K catalyses the phosphorylation of PIP2 to PIP3 downstream of PDGFRA extracellular domain dimers,162,cancer
R-HSA-9672159,STAT binds to p-11Y PDGFRA extracellular domain dimers ,162,cancer
R-HSA-9672174,Ligand-independent dimerization of PDGFRA extracellular domain mutants,162,cancer
R-HSA-9672158,GRB2:SOS1 complex binds to PDGFRA extracellular domain dimers,162,cancer
R-HSA-9672173,Autophosphorylation of PDGFRA extracellular domain dimers,162,cancer
R-HSA-9673761,Autophosphorylation of membrane-tethered fusions of PDGFRA or PDGFRB,162,cancer
R-HSA-9673760,Ligand-independent dimerization of membrane-tethered fusions of PDGFRA or PDGFRB,162,cancer
R-HSA-9674408,Regorafenib-resistant PDGFR mutants don't bind regorafenib,162,cancer
R-HSA-9674398,D842V PDGFRA doesn't bind sunitinib,162,cancer
R-HSA-9674414,Sorafenib-resistant PDGFR mutants don't bind sorefenib,162,cancer
R-HSA-9674397,Imatinib-resistant PDGFR mutants don't bind imatinib,162,cancer
R-HSA-9674427,PDGFR mutants bind type I TKIs,162,cancer
R-HSA-9674430,PDGFR mutants bind type II TKIs,162,cancer
R-HSA-1839100,p-4Y- PLCG1 dissociates from activated FGFR1 mutants and fusions,162,cancer
R-HSA-5655269,Activated FGFR1 mutants bind FRS2,162,cancer
R-HSA-5655269,Activated FGFR1 mutants bind FRS2,0080006,bone development disease
R-HSA-5655266,Activated FGFR1 mutants:p-FRS2 binds GRB2-SOS1,162,cancer
R-HSA-5655266,Activated FGFR1 mutants:p-FRS2 binds GRB2-SOS1,0080006,bone development disease
R-HSA-1839098,Activated FGFR1 mutants and fusions phosphorylate PLCG1,162,cancer
R-HSA-1839102,BCR-FGFR1 fusion:GRB2:p-GAB2:PIK3R1 binds PIK3CA ,162,cancer
R-HSA-1839102,BCR-FGFR1 fusion:GRB2:p-GAB2:PIK3R1 binds PIK3CA ,8552,chronic myeloid leukemia
R-HSA-1839039,Tyrosine kinase inhibitors bind and inhibit cytosolic FGFR1 fusion dimer phosphorylation,3264,subacute leukemia
R-HSA-1839039,Tyrosine kinase inhibitors bind and inhibit cytosolic FGFR1 fusion dimer phosphorylation,5600,precursor lymphoblastic lymphoma/leukemia
R-HSA-1839039,Tyrosine kinase inhibitors bind and inhibit cytosolic FGFR1 fusion dimer phosphorylation,4972,myelodysplastic myeloproliferative cancer
R-HSA-1839039,Tyrosine kinase inhibitors bind and inhibit cytosolic FGFR1 fusion dimer phosphorylation,162,cancer
R-HSA-1839039,Tyrosine kinase inhibitors bind and inhibit cytosolic FGFR1 fusion dimer phosphorylation,8552,chronic myeloid leukemia
R-HSA-1839065,Phosphorylation of cytosolic FGFR1 fusion dimers,162,cancer
R-HSA-1839067,Phosphorylation of BCR moiety of BCR-FGFR1,162,cancer
R-HSA-1839067,Phosphorylation of BCR moiety of BCR-FGFR1,8552,chronic myeloid leukemia
R-HSA-1839031,Dimerization of cytosolic FGFR1 fusion proteins,162,cancer
R-HSA-1839095,p-BCR-pFGFR1 binds GRB2:GAB2,162,cancer
R-HSA-1839095,p-BCR-pFGFR1 binds GRB2:GAB2,8552,chronic myeloid leukemia
R-HSA-1839091,Cytosolic FGFR1 fusion protein-associated PI3K phosphorylates PIP2 to PIP3,162,cancer
R-HSA-1839080,Activated cytosolic FGFR1 fusions bind PIK3CA,162,cancer
R-HSA-1839112,Phosphorylation of STAT5 by cytosolic FGFR1 fusions,3264,subacute leukemia
R-HSA-1839112,Phosphorylation of STAT5 by cytosolic FGFR1 fusions,5600,precursor lymphoblastic lymphoma/leukemia
R-HSA-1839112,Phosphorylation of STAT5 by cytosolic FGFR1 fusions,4972,myelodysplastic myeloproliferative cancer
R-HSA-1839112,Phosphorylation of STAT5 by cytosolic FGFR1 fusions,162,cancer
R-HSA-1839114,BCR-FGFR1:GRB2:p-GAB2 binds PIK3R1,162,cancer
R-HSA-1839114,BCR-FGFR1:GRB2:p-GAB2 binds PIK3R1,8552,chronic myeloid leukemia
R-HSA-1839078,Cytosolic FGFR1 fusion proteins bind PIK3R1,162,cancer
R-HSA-1839110,p-BCR-p-FGFR1 phosphorylates GAB2,162,cancer
R-HSA-1839110,p-BCR-p-FGFR1 phosphorylates GAB2,8552,chronic myeloid leukemia
R-HSA-1888198,FGFR1OP-FGFR1 phosphorylates STAT1 and STAT3,3264,subacute leukemia
R-HSA-1888198,FGFR1OP-FGFR1 phosphorylates STAT1 and STAT3,5600,precursor lymphoblastic lymphoma/leukemia
R-HSA-1888198,FGFR1OP-FGFR1 phosphorylates STAT1 and STAT3,4972,myelodysplastic myeloproliferative cancer
R-HSA-1888198,FGFR1OP-FGFR1 phosphorylates STAT1 and STAT3,162,cancer
R-HSA-1839107,BCR-FGFR1-associated PI3K phosphorylates PIP2 to PIP3.,162,cancer
R-HSA-1839107,BCR-FGFR1-associated PI3K phosphorylates PIP2 to PIP3.,8552,chronic myeloid leukemia
R-HSA-5654544,Ligand-independent dimerization of overexpressed FGFR1c,162,cancer
R-HSA-5654545,Ligand-independent phosphorylation of overexpressed FGFR1c,162,cancer
R-HSA-2023462,Tyrosine kinase inhibitors bind and inhibit overexpressed FGFR1 dimers,162,cancer
R-HSA-1982066,Ligand-independent phosphorylation of overexpressed FGFR1,162,cancer
R-HSA-1982065,Ligand-independent dimerization of overexpressed FGFR1b,162,cancer
R-HSA-2023455,Autocatalytic phosphorylation of FGFR1c P252X mutant dimers,162,cancer
R-HSA-2023455,Autocatalytic phosphorylation of FGFR1c P252X mutant dimers,0080006,bone development disease
R-HSA-2023451,FGFR1c P252X mutants bind ligand with enhanced affinity,162,cancer
R-HSA-2023460,Autocatalytic phosphorylation of FGFR1 mutants with enhanced kinase activity,3068,glioblastoma
R-HSA-2023460,Autocatalytic phosphorylation of FGFR1 mutants with enhanced kinase activity,162,cancer
R-HSA-2023456,Dimerization of FGFR1 point mutants with enhanced kinase activity,3068,glioblastoma
R-HSA-2023456,Dimerization of FGFR1 point mutants with enhanced kinase activity,162,cancer
R-HSA-8853325,Plasma membrane FGFR1 fusions autophosphorylate,162,cancer
R-HSA-8853322,Plasma membrane FGFR1 fusions dimerize,162,cancer
R-HSA-5655278,Activated FGFR1 mutants phosphorylate FRS2,162,cancer
R-HSA-5655278,Activated FGFR1 mutants phosphorylate FRS2,0080006,bone development disease
R-HSA-5655326,Activated FGFR1 mutants:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,162,cancer
R-HSA-5655326,Activated FGFR1 mutants:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,0080006,bone development disease
R-HSA-5655263,Activated FGFR1 mutants:p-FRS2:GRB2:GAB1:PIK3R1 binds PIK3CA,162,cancer
R-HSA-5655263,Activated FGFR1 mutants:p-FRS2:GRB2:GAB1:PIK3R1 binds PIK3CA,0080006,bone development disease
R-HSA-1839094,Activated FGFR1 mutants and fusions bind PLCG1,162,cancer
R-HSA-5655290,Activated FGFR1 mutant-associated PI3K phosphorylates PIP2 to PIP3,162,cancer
R-HSA-5655290,Activated FGFR1 mutant-associated PI3K phosphorylates PIP2 to PIP3,0080006,bone development disease
R-HSA-5655240,Activated FGFR1 mutants:p-FRS2 binds GRB2:GAB1:PIK3R1,162,cancer
R-HSA-5655240,Activated FGFR1 mutants:p-FRS2 binds GRB2:GAB1:PIK3R1,0080006,bone development disease
R-HSA-8853317,FGFR3 fusions dimerize,162,cancer
R-HSA-8853316,Activated FGFR3 fusions:p-FRS2 binds GRB2:GAB1:PIK3R1,162,cancer
R-HSA-8853315,Activated FGFR3 fusions phosphorylate FRS2,162,cancer
R-HSA-8853314,Activated FGFR3 fusions:p-FRS2 bind GRB2-SOS1,162,cancer
R-HSA-8853310,Activated FGFR3 fusions bind FRS2,162,cancer
R-HSA-8853309,Autocatalytic phosphorylation of FGFR3 fusions,162,cancer
R-HSA-8853308,Activated FGFR3 fusions:p-FRS2:GRB2:GAB1:PIK3R1 binds PIK3CA,162,cancer
R-HSA-8853307,FGFR3 fusions:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,162,cancer
R-HSA-8853323,Activated FGFR3 fusion-associated PI3K phosphorylates PIP2 to PIP3,162,cancer
R-HSA-5655270,Activated FGFR3 mutants phosphorylate FRS2,162,cancer
R-HSA-5655270,Activated FGFR3 mutants phosphorylate FRS2,0080006,bone development disease
R-HSA-5655285,Activated FGFR3 mutants:p-FRS2:GRB2:GAB1:PIK3R1 binds PIK3CA,162,cancer
R-HSA-5655285,Activated FGFR3 mutants:p-FRS2:GRB2:GAB1:PIK3R1 binds PIK3CA,0080006,bone development disease
R-HSA-2077420,FGFR3 mutants bind and are inactivated by tyrosine kinase inhibitors,162,cancer
R-HSA-2038387,Autocatalytic phosphorylation of FGFR3 t(4;14) translocation mutants,9538,multiple myeloma
R-HSA-2038387,Autocatalytic phosphorylation of FGFR3 t(4;14) translocation mutants,162,cancer
R-HSA-2038386,Dimerization of FGFR3 t(4;14) translocation mutants,9538,multiple myeloma
R-HSA-2038386,Dimerization of FGFR3 t(4;14) translocation mutants,162,cancer
R-HSA-2033485,Autocatalytic phosphorylation of FGFR3 point mutants with enhanced kinase activity,162,cancer
R-HSA-2033485,Autocatalytic phosphorylation of FGFR3 point mutants with enhanced kinase activity,0080006,bone development disease
R-HSA-2012074,FGFR3c P250R mutant binds to ligand with enhanced affinity,2340,craniosynostosis
R-HSA-2012074,FGFR3c P250R mutant binds to ligand with enhanced affinity,12960,acrocephalosyndactylia
R-HSA-2012073,Autocatalytic phosphorylation of FGFR3c P250R mutant,2340,craniosynostosis
R-HSA-2012073,Autocatalytic phosphorylation of FGFR3c P250R mutant,0080006,bone development disease
R-HSA-2012073,Autocatalytic phosphorylation of FGFR3c P250R mutant,12960,acrocephalosyndactylia
R-HSA-2012084,Constitutive dimerization of FGFR3 cysteine mutants,162,cancer
R-HSA-2012084,Constitutive dimerization of FGFR3 cysteine mutants,0080006,bone development disease
R-HSA-2033476,Dimerization of FGFR3 point mutants with enhanced kinase activity,162,cancer
R-HSA-2033476,Dimerization of FGFR3 point mutants with enhanced kinase activity,0080006,bone development disease
R-HSA-2012082,Autocatalytic phosphorylation of FGFR3 cysteine mutants,162,cancer
R-HSA-2012082,Autocatalytic phosphorylation of FGFR3 cysteine mutants,0080006,bone development disease
R-HSA-5655315,Activated FGFR3 mutants:p-FRS2 binds GRB2:GAB1:PIK3R1,162,cancer
R-HSA-5655315,Activated FGFR3 mutants:p-FRS2 binds GRB2:GAB1:PIK3R1,0080006,bone development disease
R-HSA-5655262,Activated FGFR3 mutants bind FRS2,162,cancer
R-HSA-5655262,Activated FGFR3 mutants bind FRS2,0080006,bone development disease
R-HSA-5655295,Activated FGFR3 mutants:p-FRS2 binds GRB2-SOS1,162,cancer
R-HSA-5655295,Activated FGFR3 mutants:p-FRS2 binds GRB2-SOS1,0080006,bone development disease
R-HSA-5655247,p-4Y-PLCG1 dissociates from activated FGFR3 mutants,162,cancer
R-HSA-5655247,p-4Y-PLCG1 dissociates from activated FGFR3 mutants,0080006,bone development disease
R-HSA-5655244,Activated FGFR3 mutants bind PLCG1,162,cancer
R-HSA-5655244,Activated FGFR3 mutants bind PLCG1,0080006,bone development disease
R-HSA-5655277,Activated FGFR3 mutants:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,162,cancer
R-HSA-5655277,Activated FGFR3 mutants:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,0080006,bone development disease
R-HSA-5655243,Activated FGFR3 mutants phosphorylate PLCG1,162,cancer
R-HSA-5655243,Activated FGFR3 mutants phosphorylate PLCG1,0080006,bone development disease
R-HSA-5655289,Activated FGFR3 mutant-associated PI3K phosphorylates PIP2 to PIP3,162,cancer
R-HSA-5655289,Activated FGFR3 mutant-associated PI3K phosphorylates PIP2 to PIP3,0080006,bone development disease
R-HSA-5655268,Activated FGFR2 mutants phosphorylate FRS2,162,cancer
R-HSA-5655268,Activated FGFR2 mutants phosphorylate FRS2,0080006,bone development disease
R-HSA-5655301,Activated FGFR2 mutants phosphorylate PLCG1,162,cancer
R-HSA-5655301,Activated FGFR2 mutants phosphorylate PLCG1,0080006,bone development disease
R-HSA-5655233,Activated FGFR2 mutants:p-FRS2 binds GRB2-SOS1,162,cancer
R-HSA-5655233,Activated FGFR2 mutants:p-FRS2 binds GRB2-SOS1,0080006,bone development disease
R-HSA-5655343,Activated FGFR2 mutants bind PLCG1,162,cancer
R-HSA-5655343,Activated FGFR2 mutants bind PLCG1,0080006,bone development disease
R-HSA-2029983,Dimerization of FGFR2 ligand-independent mutants,162,cancer
R-HSA-2033486,Autocatalytic phosphorylation of FGFR2c mutants with enhanced ligand binding,3001,female reproductive endometrioid cancer
R-HSA-2033486,Autocatalytic phosphorylation of FGFR2c mutants with enhanced ligand binding,2394,ovarian cancer
R-HSA-2033486,Autocatalytic phosphorylation of FGFR2c mutants with enhanced ligand binding,162,cancer
R-HSA-2033486,Autocatalytic phosphorylation of FGFR2c mutants with enhanced ligand binding,0080006,bone development disease
R-HSA-2077421,FP-1039 acts as a ligand-trap for FGFR2b-binding ligands in endometrial cancer,3001,female reproductive endometrioid cancer
R-HSA-2077421,FP-1039 acts as a ligand-trap for FGFR2b-binding ligands in endometrial cancer,162,cancer
R-HSA-2033479,Dimerization of FGFR2 point mutants with enhanced kinase activity,162,cancer
R-HSA-2033479,Dimerization of FGFR2 point mutants with enhanced kinase activity,0080006,bone development disease
R-HSA-2033474,FGFR2b mutants bind an expanded range of ligands,162,cancer
R-HSA-2033474,FGFR2b mutants bind an expanded range of ligands,0080006,bone development disease
R-HSA-2033490,Autocatalytic phosphorylation of FGFR2 point mutants with enhanced kinase activity,162,cancer
R-HSA-2033490,Autocatalytic phosphorylation of FGFR2 point mutants with enhanced kinase activity,0080006,bone development disease
R-HSA-2029984,Autocatalytic phosphorylation of FGFR2 ligand-independent  mutants,162,cancer
R-HSA-2033488,Autocatalytic phosphorylation of FGFR2b mutants with enhanced ligand binding,3001,female reproductive endometrioid cancer
R-HSA-2033488,Autocatalytic phosphorylation of FGFR2b mutants with enhanced ligand binding,2394,ovarian cancer
R-HSA-2033488,Autocatalytic phosphorylation of FGFR2b mutants with enhanced ligand binding,162,cancer
R-HSA-2033472,FGFR2c mutants bind an expanded range of ligands,3001,female reproductive endometrioid cancer
R-HSA-2033472,FGFR2c mutants bind an expanded range of ligands,2394,ovarian cancer
R-HSA-2033472,FGFR2c mutants bind an expanded range of ligands,162,cancer
R-HSA-2033472,FGFR2c mutants bind an expanded range of ligands,0080006,bone development disease
R-HSA-2077424,Point mutants of FGFR2 bind and are inactivated by tyrosine kinase inhibitors,162,cancer
R-HSA-8853319,FGFR2 fusions dimerize,162,cancer
R-HSA-8853313,FGFR2 fusions autophosphorylate,162,cancer
R-HSA-2029992,Tyrosine kinase inhibitors bind to overexpressed FGFR2 variants,10534,stomach cancer
R-HSA-2029992,Tyrosine kinase inhibitors bind to overexpressed FGFR2 variants,162,cancer
R-HSA-2029992,Tyrosine kinase inhibitors bind to overexpressed FGFR2 variants,1612,breast cancer
R-HSA-2029988,Dimerization of overexpressed FGFR2,162,cancer
R-HSA-2029989,Autocatalytic phosphorylation of overexpressed FGFR2 variants,10534,stomach cancer
R-HSA-2029989,Autocatalytic phosphorylation of overexpressed FGFR2 variants,162,cancer
R-HSA-2029989,Autocatalytic phosphorylation of overexpressed FGFR2 variants,1612,breast cancer
R-HSA-2067713,GP369 inhibits activation of amplified FGFR2 signaling,162,cancer
R-HSA-8851710,Aberrant alternative splicing yields a secreted FGFR2 IIIa TM disease variant,12960,acrocephalosyndactylia
R-HSA-8853320,FGFR2IIIa TM binds ligand and full length receptors to inhibit signaling,12960,acrocephalosyndactylia
R-HSA-5654748,p-4Y-PLCG1 dissociates from activated FGFR2 mutants,162,cancer
R-HSA-5654748,p-4Y-PLCG1 dissociates from activated FGFR2 mutants,0080006,bone development disease
R-HSA-5655245,Activated FGFR2 mutants:p-FRS2:GRB2:GAB1:PIK3R1 binds PIK3CA,162,cancer
R-HSA-5655245,Activated FGFR2 mutants:p-FRS2:GRB2:GAB1:PIK3R1 binds PIK3CA,0080006,bone development disease
R-HSA-5655339,Activated FGFR2 mutants bind FRS2,162,cancer
R-HSA-5655339,Activated FGFR2 mutants bind FRS2,0080006,bone development disease
R-HSA-5655323,Activated FGFR2 mutant-associated PI3K phosphorylates PIP2 to PIP3,162,cancer
R-HSA-5655323,Activated FGFR2 mutant-associated PI3K phosphorylates PIP2 to PIP3,0080006,bone development disease
R-HSA-5655320,Activated FGFR2 mutants:p-FRS2 binds GRB2:GAB1:PIK3R1,162,cancer
R-HSA-5655320,Activated FGFR2 mutants:p-FRS2 binds GRB2:GAB1:PIK3R1,0080006,bone development disease
R-HSA-5655241,Activated FGFR2 mutants:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,162,cancer
R-HSA-5655241,Activated FGFR2 mutants:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,0080006,bone development disease
R-HSA-5655351,Activated FGFR4 mutants bind FRS2,162,cancer
R-HSA-5655351,Activated FGFR4 mutants bind FRS2,0080006,bone development disease
R-HSA-5655284,Activated FGFR4 mutants phosphorylate FRS2,162,cancer
R-HSA-5655284,Activated FGFR4 mutants phosphorylate FRS2,0080006,bone development disease
R-HSA-5655348,Activated FGFR4 mutants:p-FRS2 binds GRB2-SOS1,162,cancer
R-HSA-5655348,Activated FGFR4 mutants:p-FRS2 binds GRB2-SOS1,0080006,bone development disease
R-HSA-5655252,Activated FGFR4 mutants:p-FRS2:GRB2:GAB1:PIK3R1 binds PIK3CA,162,cancer
R-HSA-5655252,Activated FGFR4 mutants:p-FRS2:GRB2:GAB1:PIK3R1 binds PIK3CA,0080006,bone development disease
R-HSA-2046363,FGFR4 kinase mutants are inhibited by PD170734,3247,rhabdomyosarcoma
R-HSA-2046363,FGFR4 kinase mutants are inhibited by PD170734,162,cancer
R-HSA-2012086,Constitutive dimerization of FGFR4 Y367C mutant,162,cancer
R-HSA-2012086,Constitutive dimerization of FGFR4 Y367C mutant,1612,breast cancer
R-HSA-2012087,Autocatalytic phosphorylation of FGFR4 Y367C mutant,162,cancer
R-HSA-2012087,Autocatalytic phosphorylation of FGFR4 Y367C mutant,1612,breast cancer
R-HSA-2038946,Dimerization of FGFR4 mutants with enhanced kinase activity,3247,rhabdomyosarcoma
R-HSA-2038946,Dimerization of FGFR4 mutants with enhanced kinase activity,162,cancer
R-HSA-2038944,Autocatalytic phosphorylation of FGFR4 mutants with enhanced kinase activity,3247,rhabdomyosarcoma
R-HSA-2038944,Autocatalytic phosphorylation of FGFR4 mutants with enhanced kinase activity,162,cancer
R-HSA-5655347,Activated FGFR4 mutants:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,162,cancer
R-HSA-5655347,Activated FGFR4 mutants:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange,0080006,bone development disease
R-HSA-5655235,Activated FGFR4 mutant-associated PI3K phosphorylates PIP2 to PIP3,162,cancer
R-HSA-5655235,Activated FGFR4 mutant-associated PI3K phosphorylates PIP2 to PIP3,0080006,bone development disease
R-HSA-5655248,Activated FGFR4 mutants:p-FRS2 binds GRB2:GAB1:PIK3R1,162,cancer
R-HSA-5655248,Activated FGFR4 mutants:p-FRS2 binds GRB2:GAB1:PIK3R1,0080006,bone development disease
R-HSA-5655313,Activated FGFR4 mutants bind PLCG1,162,cancer
R-HSA-5655313,Activated FGFR4 mutants bind PLCG1,0080006,bone development disease
R-HSA-5655341,Activated FGFR4 mutants phosphorylate PLCG1,162,cancer
R-HSA-5655341,Activated FGFR4 mutants phosphorylate PLCG1,0080006,bone development disease
R-HSA-5655336,p-4Y-PLCG1 dissociates from activated FGFR4 mutants,162,cancer
R-HSA-5655336,p-4Y-PLCG1 dissociates from activated FGFR4 mutants,0080006,bone development disease
R-HSA-9681382,KIT mutants bind ripretinib,162,cancer
R-HSA-9681382,KIT mutants bind ripretinib,9253,gastrointestinal stromal tumor
R-HSA-9669898,KIT mutants bind type I TKIs,162,cancer
R-HSA-9669900,KIT mutants bind type II TKIs,162,cancer
R-HSA-9669874,Sorafenib-resistant KIT mutants do not bind sorafenib,162,cancer
R-HSA-9669868,Nilotinib-resistant KIT mutants do not bind nilotinib,162,cancer
R-HSA-9669863,Masitinib-resistant KIT mutants do not bind masitinib,162,cancer
R-HSA-9669855,Dasatinib-resistant KIT mutants do not bind dasatinib,162,cancer
R-HSA-9669870,Regorafenib-resistant KIT mutants do not bind regorafenib,162,cancer
R-HSA-9669878,Sunitinib-resistant KIT mutants do not bind sunitinib,162,cancer
R-HSA-9669859,Imatinib-resistant KIT mutants do not bind imatinib,162,cancer
R-HSA-9670418,Phosphorylation of JAK2 downstream of KIT mutants,162,cancer
R-HSA-9670433,KIT mutants:PI3K catalyze synthesis of PIP3,162,cancer
R-HSA-9670417,Dimerization of STATs downstream of KIT mutants,162,cancer
R-HSA-9670416,Recruitment of STATs by KIT mutants,162,cancer
R-HSA-9670436,p-KIT mutants:GRB2:SOS catalyzes nucleotide exchange on RAS,162,cancer
R-HSA-9670426,Disassociation and translocation of STATs to the nucleus downstream of KIT mutants,162,cancer
R-HSA-9670431,Phosphorylated KIT mutants bind PI3K,162,cancer
R-HSA-9670414,KIT mutants bind SFKs,162,cancer
R-HSA-9670413,JAK2 binds to p-KIT mutants,162,cancer
R-HSA-9670428,KIT mutants bind GRB2-SOS,162,cancer
R-HSA-9670412,Phosphorylation of STATs downstream of KIT mutants,162,cancer
R-HSA-9680242,Ligand-independent dimerization of KIT extracellular domain mutants,162,cancer
R-HSA-9680248,Phosphorylation of extracellular domain KIT mutants,162,cancer
R-HSA-9669906,Ligand-independent dimerization of KIT juxtamembrane domain mutants,162,cancer
R-HSA-9669911,Phosphorylation of juxtamembrane domain KIT mutants,162,cancer
R-HSA-9669890,Constitutive phosphorylation of kinase domain KIT mutants,162,cancer
R-HSA-5339711,misspliced mutants of LRP5 support enhanced beta-catenin-dependent signaling,162,cancer
R-HSA-5339711,misspliced mutants of LRP5 support enhanced beta-catenin-dependent signaling,1540,parathyroid carcinoma
R-HSA-5339711,misspliced mutants of LRP5 support enhanced beta-catenin-dependent signaling,1612,breast cancer
R-HSA-5339713,Misspliced GSK3beta mutants stabilize beta-catenin levels,8552,chronic myeloid leukemia
R-HSA-5334052,TFC7L2 mutants don't bind CTBP,9256,colorectal cancer
R-HSA-4839638,CTNNB1 T41 mutants aren't phosphorylated by GSK3beta,162,cancer
R-HSA-4839634,CTNNB1 S33 mutants aren't phosphorylated by GSK3beta,162,cancer
R-HSA-4839635,CTNNB1 S37 mutants aren't phosphorylated by GSK3beta,162,cancer
R-HSA-4827388,CTNNB1 S45 mutants aren't phosphorylated by CK1alpha,162,cancer
R-HSA-5262606,XAV939 binds tankyrase to stabilize axin and inhibit WNT signaling,162,cancer
R-HSA-5246696,APC truncation mutants are not K63 polyubiquitinated,9256,colorectal cancer
R-HSA-4791278,APC truncation mutants have impaired AXIN binding,9256,colorectal cancer
R-HSA-4791278,APC truncation mutants have impaired AXIN binding,162,cancer
R-HSA-5340560,PORCN-inhibitor LGK974 prevents WNT ligand palmitoyltation and secretion,162,cancer
R-HSA-4839746,Truncated AMER1 mutants destabilize the destruction complex,162,cancer
R-HSA-4839746,Truncated AMER1 mutants destabilize the destruction complex,263,kidney cancer
R-HSA-4839746,Truncated AMER1 mutants destabilize the destruction complex,2154,nephroblastoma
R-HSA-5251559,Deletions of the AMER1 gene prevent expression of AMER1 protein,263,kidney cancer
R-HSA-5251559,Deletions of the AMER1 gene prevent expression of AMER1 protein,2154,nephroblastoma
R-HSA-5340587,RNF43 frameshift mutants show enhanced WNT siganling,1793,pancreatic cancer
R-HSA-5251562,Deletions in the AXIN1 gene prevent expression of AXIN1 protein,684,hepatocellular carcinoma
R-HSA-4839734,AXIN mutants destabilize the destruction complex,684,hepatocellular carcinoma
R-HSA-4839734,AXIN mutants destabilize the destruction complex,162,cancer
R-HSA-2660815,NOTCH1 t(7;9)(NOTCH1:M1580_K2555) does not bind DLL4,162,cancer
R-HSA-2660815,NOTCH1 t(7;9)(NOTCH1:M1580_K2555) does not bind DLL4,715,T-cell leukemia
R-HSA-2660816,NOTCH1 t(7;9)(NOTCH1:M1580_K2555) does not bind JAG2,162,cancer
R-HSA-2660816,NOTCH1 t(7;9)(NOTCH1:M1580_K2555) does not bind JAG2,715,T-cell leukemia
R-HSA-2660819,NOTCH1 t(7;9)(NOTCH1:M1580_K2555) does not bind DLL1,162,cancer
R-HSA-2660819,NOTCH1 t(7;9)(NOTCH1:M1580_K2555) does not bind DLL1,715,T-cell leukemia
R-HSA-2660822,NOTCH1 t(7;9)(NOTCH1:M1580_K2555) does not bind JAG1,162,cancer
R-HSA-2660822,NOTCH1 t(7;9)(NOTCH1:M1580_K2555) does not bind JAG1,715,T-cell leukemia
R-HSA-2666278,NOTCH1 t(7;9)(NOTCH1:M1580_K2555) is cleaved to produce NEXT1,162,cancer
