PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities
Miscellaneous substrates,CYP4F11 16-hydroxylates 3OH-PALM,R-HSA-211962,"[O2 [endoplasmic reticulum lumen],H+ [endoplasmic reticulum lumen],3OH-PALM [endoplasmic reticulum lumen],NADPH [endoplasmic reticulum lumen]]","[H2O [endoplasmic reticulum lumen],NADP+ [endoplasmic reticulum lumen],3,16DOH-PALM [endoplasmic reticulum lumen]]","[Cytochrome P450 (CYP4F11 based) [endoplasmic reticulum membrane],CYP4A22 [endoplasmic reticulum membrane],CYP4F22 [endoplasmic reticulum membrane],CYP4B1 [endoplasmic reticulum membrane],CYP4A11 [endoplasmic reticulum membrane],CYP4F2 [endoplasmic reticulum membrane],CYP4F3 [endoplasmic reticulum membrane],CYP4F11 [endoplasmic reticulum membrane]]"
Creatine metabolism,guanidinoacetate + S-adenosylmethionine => creatine + S-adenosylhomocysteine,R-HSA-71286,"[AdoMet [cytosol],GAA [cytosol]]","[CRET [cytosol],H+ [cytosol],AdoHcy [cytosol]]",[GAMT [cytosol]]
Glycosphingolipid metabolism,ESYT1:ESYT2:ESYT3 transport GPL from plasma membrane to ER membrane,R-HSA-8857662,[GPL [plasma membrane]],[GPL [endoplasmic reticulum membrane]],"[ESYT1:ESYT2:ESYT3 [endoplasmic reticulum membrane],ESYT2 [endoplasmic reticulum membrane],ESYT3 [endoplasmic reticulum membrane],ESYT1 [endoplasmic reticulum membrane],Ca2+ [cytosol]]"
Metabolism of vitamin K,VKORC1 reduces vitamin K epoxide to MK4 (vitamin K hydroquinone),R-HSA-159790,"[H+ [endoplasmic reticulum lumen],MK4 epoxide [endoplasmic reticulum lumen]]",[MK4 [endoplasmic reticulum lumen]],"[VKORC1 dimer [endoplasmic reticulum membrane],VKORC1 [endoplasmic reticulum membrane],VKORC1 inhibitors:VKORC1 dimer [endoplasmic reticulum membrane],VKORC1 inhibitors [cytosol],warfarin [cytosol],phenprocoumon [cytosol],acenocoumarol [cytosol],phenindione [cytosol],dicumarol [cytosol]]"
Heme biosynthesis,Cytosolic COPRO3 translocates to mitochondrial intermembrane space,R-HSA-189467,[COPRO3 [cytosol]],[COPRO3 [mitochondrial intermembrane space]],[]
Thyroxine biosynthesis,Iodide is taken up by thyroid epithelial cells,R-HSA-209910,"[I- [extracellular region],Na+ [extracellular region]]","[I- [cytosol],Na+ [cytosol]]",[SLC5A5 [plasma membrane]]
Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,5-HEDH dehydrogenates 7-HDHA to 7-oxo-DHA,R-HSA-9027631,"[7-HDHA [cytosol],NADP+ [cytosol]]","[H+ [cytosol],NADPH [cytosol],7-oxo-DHA [cytosol]]",[5-HEDH [endoplasmic reticulum membrane]]
Aspartate and asparagine metabolism,"NAT8L transfers acetyl group from Ac-CoA to L-Asp, forming NAA",R-HSA-8954468,"[Ac-CoA [mitochondrial matrix],L-Asp [mitochondrial matrix]]","[CoA-SH [mitochondrial matrix],NAA [mitochondrial matrix],H+ [mitochondrial matrix]]",[NAT8L [mitochondrial matrix]]
Gluconeogenesis,Cytosolic glucose 6-phosphate is exchanged for orthophosphate from the endoplasmic reticulum lumen by SLC37A4,R-HSA-198513,"[Pi [endoplasmic reticulum lumen],G6P [cytosol]]","[Pi [cytosol],G6P [endoplasmic reticulum lumen]]",[SLC37A4 [endoplasmic reticulum membrane]]
Methionine salvage pathway,MTA is cleaved and phosphorylated,R-HSA-1237160,"[Pi [cytosol],MTAD [cytosol]]","[MTRIBP [cytosol],Ade [cytosol]]","[MTAP trimer [cytosol],MTAP [cytosol]]"
Mitochondrial iron-sulfur cluster biogenesis,Mitoferrin translocates iron from the mitochondrial intermembrane space to the mitochondrial matrix,R-HSA-1362417,[Fe2+ [mitochondrial intermembrane space]],[Fe2+ [mitochondrial matrix]],"[Mitoferrin1,2 [mitochondrial inner membrane],SLC25A37 [mitochondrial inner membrane],SLC25A28 [mitochondrial inner membrane]]"
Sphingolipid de novo biosynthesis,ceramide + H2O => stearate + sphingosine [Golgi],R-HSA-428205,"[H2O [cytosol],CERA [Golgi membrane]]","[SPG [Golgi membrane],STEA [Golgi membrane]]",[ACER2 [Golgi membrane]]
Chondroitin sulfate biosynthesis,CSPG is secreted,R-HSA-2022911,[CSPGs [Golgi lumen]],[CSPGs [extracellular region]],[]
Regulation of insulin secretion,"IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel",R-HSA-169680,"[I(1,4,5)P3 [cytosol],IP3 receptor homotetramer [endoplasmic reticulum membrane]]","[ITPR:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane]]",[]
Pyrimidine catabolism,"thymine + NADPH + H+ => 5,6-dihydrothymine + NADP+",R-HSA-73616,"[H+ [cytosol],Thy [cytosol],NADPH [cytosol]]","[NADP+ [cytosol],5,6-Dihydrothymine [cytosol]]","[DPYD dimer [cytosol],DPYD [cytosol],FMN [cytosol],FAD [cytosol],Iron Sulphur Cluster [cytosol]]"
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,"(24R, 25R) 3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA is oxidized to 3alpha,7alpha-dihydroxy-5beta-cholest-24-one-CoA",R-HSA-193508,"[3,7,24THCA-CoA [peroxisomal matrix],NAD+ [peroxisomal matrix]]","[H+ [peroxisomal matrix],3alpha,7alpha-dihydroxy-5beta-cholest-24-one-CoA [peroxisomal matrix],NADH [peroxisomal matrix]]","[HSD17B4 dimer [peroxisomal matrix],HSD17B4(1-736) [peroxisomal matrix]]"
Methylation,AS3MT transfers CH3 from AdoMet to arsenite(3-),R-HSA-5696220,"[arsenite(3-) [cytosol],AdoMet [cytosol]]","[AdoHcy [cytosol],methylarsonate [cytosol]]",[AS3MT [cytosol]]
PPARA activates gene expression,Expression of TRIB3,R-HSA-1989767,[TRIB3 gene [nucleoplasm]],[TRIB3 [nucleoplasm]],"[PPARA:RXRA Coactivator complex [nucleoplasm],TBL1XR1 [nucleoplasm],Coactivators of PPARalpha [nucleoplasm],HELZ2 [nucleoplasm],CHD9 [nucleoplasm],NCOA1 [nucleoplasm],TGS1 [nucleoplasm],CREBBP [nucleoplasm],NCOA2 [nucleoplasm],NCOA6 [nucleoplasm],SMARCD3 [nucleoplasm],CARM1 [nucleoplasm],MED1 [nucleoplasm],Activated PPARA:RXRA [nucleoplasm],RXRA [nucleoplasm],PPARA:fatty acid (Activated PPARA) [nucleoplasm],Ligands of PPARA [nucleoplasm],Palm [nucleoplasm],EPA [nucleoplasm],ALA [nucleoplasm],LINA [nucleoplasm],AA [nucleoplasm],PPARA [nucleoplasm],Peroxisome Proliferator Receptor Element (PPRE) [nucleoplasm],TBL1X [nucleoplasm]]"
Synthesis of PIPs at the late endosome membrane,PI is phosphorylated to PI3P by PIK3C2A/3 at the late endosome membrane,R-HSA-1676024,"[ATP [cytosol],PI [late endosome membrane]]","[PI3P [late endosome membrane],ADP [cytosol]]","[PIK3C2A/3 [cytosol],PIK3C3:Mn2+:PIK3R4:Mn2+ [cytosol],PIK3C3:Mn2+ [cytosol],PIK3C3 [cytosol],Mn2+ [cytosol],PIK3R4:Mn2+ [cytosol],PIK3R4 [cytosol],PIK3C2A:Ca2+/Mg2+ [cytosol],PIK3C2A [cytosol],Ca2+/Mg2+ [cytosol],Ca2+ [cytosol],Mg2+ [cytosol]]"
Retinoid metabolism and transport,LRAT esterifies RBP2:atROL and FACYLs to atREs,R-HSA-975608,"[RBP2:atROL [cytosol],FACYLs [plasma membrane]]","[RBP2 [cytosol],atREs [cytosol]]",[LRAT [endoplasmic reticulum membrane]]
Lysine catabolism,PXLP-K278-PHYKPL tetramer hydrolyses 5PHL,R-HSA-5696408,"[5PHL [mitochondrial matrix],H2O [mitochondrial matrix]]","[Pi [mitochondrial matrix],NH3 [mitochondrial matrix],2AMAS [mitochondrial matrix]]","[PXLP-K278-PHYKPL tetramer [mitochondrial matrix],PXLP-K278-PHYKPL [mitochondrial matrix]]"
Vitamins B6 activation to pyridoxal phosphate,2xPDXK:2xZn2+ phosphorylates PXA,R-HSA-964958,"[PXA [cytosol],ATP [cytosol]]","[ADP [cytosol],PXAP [cytosol]]","[2xPDXK:2xZn2+ [cytosol],Zn2+ [cytosol],PDXK [cytosol]]"
Synthesis of 12-eicosatetraenoic acid derivatives,12R-HpETE is reduced to 12R-HETE by GPX1/2/4,R-HSA-2161959,"[GSH [cytosol],12R-HpETE [cytosol]]","[H2O [cytosol],12R-HETE [cytosol],GSSG [cytosol]]","[GPX1/2/4 [cytosol],GPX2 tetramer [cytosol],GPX2 [cytosol],GPX4(?-197) [cytosol],GPX1 tetramer [cytosol],L-selenocysteine residue-GPX1 [cytosol]]"
Triglyceride catabolism,diacylglycerol + H2O -> 2-acylglycerol + fatty acid,R-HSA-163402,"[H2O [cytosol],DAG [lipid droplet]]","[2-acylglycerol [lipid droplet],LCFA(-) [cytosol]]","[phosphorylated HSL dimer:FABP4 complex [lipid droplet],FABP4 [lipid droplet],phosphorylated HSL dimer [lipid droplet],p-S649,S650-LIPE [lipid droplet]]"
Synthesis of Ketone Bodies,"AACS ligates CoA-SH to ACA, forming ACA-CoA",R-HSA-5694494,"[ATP [cytosol],CoA-SH [cytosol],ACA [cytosol]]","[PPi [cytosol],ACA-CoA [cytosol],AMP [cytosol]]",[AACS [cytosol]]
Biotin transport and metabolism,HLCS biotinylates 6x(PCCA:PCCB),R-HSA-2993447,"[6x(PCCA:PCCB) [cytosol],ATP [cytosol],Btn [cytosol]]","[PPi [cytosol],AMP [cytosol],6x(Btn-PCCA:PCCB) [cytosol]]",[HLCS [cytosol]]
Glycogen breakdown (glycogenolysis),glycogen phosphorylase (PYGB) dimer b + 2 ATP => glycogen phosphorylase (PYGB) dimer a + 2 ADP,R-HSA-453337,"[ATP [cytosol],PGYB dimer b form [cytosol]]","[PGYB dimer a form [cytosol],ADP [cytosol]]","[phosphorylase kinase complex (PHKM) [cytosol],CALM1 [cytosol],PHKB [cytosol],PHKA1 [cytosol],PHKG1 [cytosol],Ca2+ [cytosol]]"
Lipid particle organization,CIDEA:CIDEC binds lipid droplets,R-HSA-8856630,"[lipid droplet [lipid droplet],CIDEA:CIDEC [cytosol]]",[CIDEA:CIDEC:lipid droplet [lipid droplet]],[]
Synthesis of PIPs at the plasma membrane,"p-Y281,292-RUFY1 binds RAB4A:GTP, RAB5:GTP, RAB14:GTP",R-HSA-8871366,"[RAB5A:GTP [early endosome membrane],RAB14:GTP [early endosome membrane],RAB4A:GTP [early endosome membrane],p-Y281,292-RUFY1 [early endosome membrane]]","[p-Y281,292-RUFY1:p-Y281,292-RUFY1:RAB4A:GTP:RAB5:GTP:RAB14:GTP [early endosome membrane]]",[]
Linoleic acid (LA) metabolism,Translocation of tetracosapentaenoyl-CoA to peroxisomes,R-HSA-2046093,"[TPA-CoA [endoplasmic reticulum lumen],ATP [endoplasmic reticulum membrane]]","[Pi [endoplasmic reticulum membrane],TPA-CoA [peroxisomal matrix],ADP [endoplasmic reticulum membrane]]",[ABCD1 [peroxisomal membrane]]
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Isomerization of 25(R) DHCA-CoA to 25(S) DHCA-CoA,R-HSA-193452,[25(R) DHCA-CoA [peroxisomal matrix]],[25(S) DHCA-CoA [peroxisomal matrix]],[AMACR [peroxisomal matrix]]
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Hydrolysis of choloyl-CoA to cholate and CoASH,R-HSA-193385,"[H2O [peroxisomal matrix],choloyl-CoA [peroxisomal matrix]]","[cholate [peroxisomal matrix],CoA-SH [peroxisomal matrix]]",[ACOT8 [peroxisomal matrix]]
Interconversion of polyamines,N-acetylated spermine (cytosol)=>N-acetylated spermine (peroxisomal),R-HSA-351229,[NASPN [cytosol]],[NASPN [peroxisomal matrix]],[]
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Arachidonic acid is oxidised to PGG2 by PTGS1,R-HSA-140355,"[O2 [endoplasmic reticulum lumen],ARA [endoplasmic reticulum lumen]]",[PGG2 [endoplasmic reticulum lumen]],"[PTGS1 dimer [endoplasmic reticulum membrane],PTGS1 [endoplasmic reticulum membrane],heme b [endoplasmic reticulum membrane]]"
Synthesis of PIPs at the plasma membrane,"PI5P is phosphorylated to PI(4,5)P2 by PIP4K2 dimers at the plasma membrane",R-HSA-1675776,"[PI5P [plasma membrane],ATP [cytosol]]","[ADP [cytosol],PI(4,5)P2 [plasma membrane]]","[PIP4K2 dimers [cytosol],PIP4K2B:PIP4K2C [cytosol],PIP4K2C [cytosol],PIP4K2B [cytosol],PIP4K2B:PIP4K2B [cytosol],PIP4K2A:PIP4K2A [cytosol],PIP4K2A [cytosol],PIP4K2A:PIP4K2C [cytosol],PIP4K2C:PIP4K2C [cytosol],PIP4K2A:PIP4K2B [cytosol]]"
Negative regulation of the PI3K/AKT network,PTEN dephosphorylates PIP3,R-HSA-199456,"[PI(3,4,5)P3 [plasma membrane],H2O [cytosol]]","[PI(4,5)P2 [plasma membrane],Pi [cytosol]]",[PTEN [cytosol]]
eNOS activation,The cofactor BH4 is required for electron transfer in the eNOS catalytic cycle,R-HSA-1497784,"[BH4 [cytosol],p-S1177-eNOS:CaM:HSP90:p-AKT1 [plasma membrane]]",[p-S1177-eNOS:CaM:HSP90:p-AKT1:BH4 [plasma membrane]],[]
Aflatoxin activation and detoxification,"CYP3A4,5 hydroxylates AFB1 to AFQ1",R-HSA-5423664,"[H+ [cytosol],O2 [cytosol],AFB1 [cytosol],NADPH [cytosol]]","[AFQ1 [cytosol],H2O [cytosol],NADP+ [cytosol]]","[CYP3A4,5 [endoplasmic reticulum membrane],CYP3A4 [endoplasmic reticulum membrane],CYP3A5 [endoplasmic reticulum membrane]]"
Regulation of lipid metabolism by PPARalpha,PPARA binds RXRA forming PPARA:RXRA heterodimer at promoter of target gene,R-HSA-400204,"[Peroxisome Proliferator Receptor Element (PPRE) [nucleoplasm],PPARA [nucleoplasm],RXRA [nucleoplasm]]",[PPARA:RXRA heterodimer [nucleoplasm]],[]
Branched-chain amino acid catabolism,PPM1K dephosphorylates p-BCKDH,R-HSA-5693153,"[p-BCKDH [mitochondrial matrix],H2O [mitochondrial matrix]]","[Pi [mitochondrial matrix],lipo-BCKDH [mitochondrial matrix]]","[PPM1K:Mn2+ [mitochondrial matrix],Mn2+ [mitochondrial matrix],PPM1K [mitochondrial matrix]]"
Synthesis of very long-chain fatty acyl-CoAs,"ACSL3,4 ligate CoA to AA to form AA-CoA",R-HSA-548843,"[ATP [cytosol],AA [cytosol],CoA-SH [cytosol]]","[PPi [cytosol],H2O [cytosol],AA-CoA [cytosol],AMP [cytosol]]","[ACSL3,4 [endoplasmic reticulum membrane],ACSL3 [endoplasmic reticulum membrane],ACSL4 [endoplasmic reticulum membrane]]"
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,trans-Oct-2-enoyl-CoA+H2O<=>(S)-Hydroxyoctanoyl-CoA,R-HSA-77333,"[trans-Oct-2-enoyl-CoA [mitochondrial matrix],H2O [mitochondrial matrix]]",[(S)-Hydroxyoctanoyl-CoA [mitochondrial matrix]],"[ECHS1 hexamer [mitochondrial matrix],ECHS1 [mitochondrial matrix]]"
Cholesterol biosynthesis via desmosterol,Reduction of desmosterol to cholesterol,R-HSA-196417,"[H+ [cytosol],DESMOL [endoplasmic reticulum membrane],NADPH [cytosol]]","[CHOL [endoplasmic reticulum membrane],NADP+ [cytosol]]",[DHCR24 [endoplasmic reticulum membrane]]
Vitamins B6 activation to pyridoxal phosphate,2xPDXK:2xZn2+ phosphorylates PXL,R-HSA-964970,"[ATP [cytosol],PXL [cytosol]]","[PXLP [cytosol],ADP [cytosol]]","[2xPDXK:2xZn2+ [cytosol],Zn2+ [cytosol],PDXK [cytosol]]"
alpha-linolenic acid (ALA) metabolism,Hydration of delta2-tetracosaheptaenoyl-CoA to 3-hydroxy tetracosahexaenoyl-CoA,R-HSA-2066778,"[H2O [peroxisomal matrix],delta2-THA-CoA [peroxisomal matrix]]",[1-3-hydroxy-THA-CoA [peroxisomal matrix]],"[HSD17B4 dimer [peroxisomal matrix],HSD17B4(1-736) [peroxisomal matrix]]"
Glucuronidation,UGT1A4 transfers GlcA from UDP-GlcA to BIL to form BMG,R-HSA-159194,"[BIL [endoplasmic reticulum lumen],UDP-GlcA [endoplasmic reticulum lumen]]","[BMG [endoplasmic reticulum lumen],UDP [endoplasmic reticulum lumen]]",[UGT1A4 [endoplasmic reticulum membrane]]
Aflatoxin activation and detoxification,"DPEPs hydrolyse glycine from AFXBO-CG, AFNBO-CG",R-HSA-5433067,"[AFXBO-CG,AFNBO-CG [extracellular region]]","[Gly [extracellular region],AFXBO-C,AFNBO-C [extracellular region]]","[DPEP1,2,3 dimers [plasma membrane],DPEP3 dimer [plasma membrane],Zn2+ [cytosol],DPEP3 [plasma membrane],DPEP2 dimer [plasma membrane],DPEP2 [plasma membrane],DPEP1 dimer [plasma membrane],DPEP1 [plasma membrane]]"
Fatty acyl-CoA biosynthesis,ACLY tetramer transforms CIT to Ac-CoA,R-HSA-75848,"[CIT [cytosol],ATP [cytosol],CoA-SH [cytosol]]","[Pi [cytosol],ADP [cytosol],Ac-CoA [cytosol],OA [cytosol]]","[ACLY tetramer [cytosol],ACLY [cytosol],MORC2 [cytosol]]"
Keratan sulfate biosynthesis,Further sulfation on galactose residues produces KSPG,R-HSA-2046175,"[PAPS [Golgi lumen],KSPG(1) [Golgi lumen]]","[KSPG(2) [Golgi lumen],PAP [Golgi lumen]]",[CHST1 [Golgi membrane]]
Regulation of Glucokinase by Glucokinase Regulatory Protein,cytosolic GCK1:GKRP complex <=> glucokinase (GCK1) + glucokinase regulatory protein (GKRP),R-HSA-170799,[GCK1:GKRP complex [cytosol]],"[GCK [cytosol],GCKR [cytosol]]","[Sor6P [cytosol],Fru 1-P [cytosol],Fru(6)P [cytosol]]"
Synthesis of Leukotrienes (LT) and Eoxins (EX),20cooh-LTB4 is converted to 18cooh-LTB4,R-HSA-2161790,[20cooh-LTB4 [cytosol]],[18cooh-LTB4 [cytosol]],[]
Mineralocorticoid biosynthesis,"Pregnenolone is dehydrogenated to form pregn-5-ene-3,20-dione",R-HSA-196350,"[PREG [cytosol],NAD+ [cytosol]]","[H+ [cytosol],pregn-5-ene-3,20-dione [cytosol],NADH [cytosol]]","[HSD2B1 or HSD3B2 dimer [endoplasmic reticulum membrane],HSD3B2 homodimer [endoplasmic reticulum membrane],HSD3B2 [endoplasmic reticulum membrane],HSD3B1 homodimer [endoplasmic reticulum membrane],HSD3B1 [endoplasmic reticulum membrane]]"
Activation of gene expression by SREBF (SREBP),"SREBP1A,1C,2 binds the HMGCS1 promoter",R-HSA-2426150,"[SREBP1A,1C,2 dimer [nucleoplasm],NF-Y [nucleoplasm],HMGCS1 gene [nucleoplasm]]","[SREBP1A,1C,2:NF-Y:HMGCS1 gene [nucleoplasm]]",[]
G alpha (s) signalling events,G alpha (s) activates adenylate cyclase,R-HSA-163617,"[Adenylate cyclase (Mg2+ cofactor) [plasma membrane],G alpha (s):GTP [plasma membrane]]",[G alpha (s):GTP:Adenylate cyclase [plasma membrane]],[]
Xenobiotics,CYP2C9 inactivates tolbutamide by 4methyl-hydroxylation,R-HSA-211988,"[O2 [endoplasmic reticulum lumen],H+ [endoplasmic reticulum lumen],TBM [endoplasmic reticulum lumen],NADPH [endoplasmic reticulum lumen]]","[H2O [endoplasmic reticulum lumen],NADP+ [endoplasmic reticulum lumen],HTOLB [endoplasmic reticulum lumen]]","[Cytochrome P450 (CYP2C9 based) [endoplasmic reticulum membrane],CYP2A7 [endoplasmic reticulum membrane],CYP2B6 [endoplasmic reticulum membrane],CYP2C8 [endoplasmic reticulum membrane],CYP2D6 [endoplasmic reticulum membrane],CYP2C18 [endoplasmic reticulum membrane],CYP2E1 [endoplasmic reticulum membrane],CYP2A13 [endoplasmic reticulum membrane],CYP2C19 [endoplasmic reticulum membrane],CYP2S1 [endoplasmic reticulum membrane],CYP2F1 [endoplasmic reticulum membrane],CYP2C9 [endoplasmic reticulum membrane]]"
Synthesis of PA,G3P is acylated to 1-acyl LPA by AGPAT6,R-HSA-549112,"[acyl-CoA [cytosol],G3P [cytosol]]","[1-acyl LPA [cytosol],CoA-SH [cytosol]]",[AGPAT6 [endoplasmic reticulum membrane]]
Fructose biosynthesis,SORD oxidizes D-sorbitol to Fru,R-HSA-5652195,"[D-sorbitol [cytosol],NAD+ [cytosol]]","[Fru [cytosol],H+ [cytosol],NADH [cytosol]]","[SORD tetramer [cytosol],SORD:Zn2+ [cytosol],Zn2+ [cytosol],SORD [cytosol]]"
Complex I biogenesis,NDUF subunits bind to form the IP subcomplex,R-HSA-6800868,"[NDUFS7:4Fe-4S [mitochondrial matrix],NDUFS8:2x4Fe-4S [mitochondrial matrix],NDUFS3 [mitochondrial matrix],NDUFA9:FAD [mitochondrial matrix],NDUFAF7:NDUFS2:2x4Fe-4S [mitochondrial matrix]]",[IP subcomplex [mitochondrial matrix]],[]
Glyoxylate metabolism and glycine degradation,DDO oxidizes D-Asp to OA,R-HSA-6810076,"[O2 [peroxisomal matrix],H2O [peroxisomal matrix],D-Asp [peroxisomal matrix]]","[H2O2 [peroxisomal matrix],NH4+ [peroxisomal matrix],OA [peroxisomal matrix]]","[DDO:FAD [peroxisomal matrix],FAD [peroxisomal matrix],DDO [peroxisomal matrix]]"
"Cobalamin (Cbl, vitamin B12) transport and metabolism",GIF binds Cbl,R-HSA-3000120,"[GIF [extracellular region],Cbl [extracellular region]]",[GIF:Cbl [extracellular region]],[]
Activation of gene expression by SREBF (SREBP),"SREBP1A,1C,2 binds the FDPS promoter",R-HSA-2426147,"[SREBP1A,1C,2 dimer [nucleoplasm],FDPS gene [nucleoplasm],NF-Y [nucleoplasm]]","[SREBP1A,1C,2:NF-Y:FDPS gene [nucleoplasm]]",[]
Formation of selenosugars for excretion,MeSebGalNac is hydrolysed to MeSeH and bGalNac,R-HSA-5333609,"[H2O [cytosol],MeSebGalNac [cytosol]]","[bGalNAc [cytosol],MeSeH [cytosol]]",[]
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,"25(S) DHCA-CoA is dehydrogenated to 25(S) 3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA",R-HSA-193369,"[O2 [peroxisomal matrix],25(S) DHCA-CoA [peroxisomal matrix]]","[H2O2 [peroxisomal matrix],25(S) 3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA [peroxisomal matrix]]","[ACOX2:FAD [peroxisomal matrix],ACOX2 [peroxisomal matrix],FAD [peroxisomal matrix]]"
Vitamin B2 (riboflavin) metabolism,FLAD1 phosphorylates FMN,R-HSA-196929,"[ATP [cytosol],FMN [cytosol]]","[PPi [cytosol],FAD [cytosol]]",[FLAD1 [cytosol]]
Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,PTGS2 dimer oxidises EPA to PGH3,R-HSA-9028255,"[EPA [cytosol],O2 [cytosol]]",[PGH3 [cytosol]],"[PTGS2 dimer [endoplasmic reticulum membrane],PTGS2 [endoplasmic reticulum membrane],heme b [endoplasmic reticulum membrane]]"
Intracellular metabolism of fatty acids regulates insulin secretion,CD36 (FAT) translocates palmitate from the extracellular region to the cytosol,R-HSA-434381,[PALM [extracellular region]],[PALM [cytosol]],[4xPalmC-CD36 [plasma membrane]]
Vitamin C (ascorbate) metabolism,GSTO dimers reduce DeHA to AscH-,R-HSA-198813,"[GSH [cytosol],DeHA [cytosol]]","[AscH- [cytosol],GSSG [cytosol]]","[GSTO dimers [cytosol],GSTO1 dimer [cytosol],GSTO1 [cytosol],GSTO2 dimer [cytosol],GSTO2 [cytosol]]"
ABO blood group biosynthesis,sABO-A:Mn2+ transfers GalNAc to H antigen-sec to form A antigen-sec,R-HSA-9034042,"[H antigen-sec [extracellular region],UDP-GalNAc [extracellular region]]","[UDP [extracellular region],A antigen-sec [extracellular region]]","[sABO-A:Mn2+ [extracellular region],sABO-A [extracellular region],Mn2+ [extracellular region]]"
Biosynthesis of DHA-derived SPMs,"ALOX15 dehydrogenates 17(S)-Hp-DHA to 16S,17S-epoxy-DHA",R-HSA-9024881,"[NADP+ [cytosol],17(S)-Hp-DHA [cytosol]]","[NADPH [cytosol],16S,17S-epoxy-DHA [cytosol]]",[ALOX15 [cytosol]]
Pyrimidine catabolism,Mitochondrial uptake of beta-alanine,R-HSA-909765,[b-Ala [cytosol]],[b-Ala [mitochondrial matrix]],[]
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,"5beta-cholestan-3alpha, 7alpha, 12alpha-triol is translocated from the cytosol to the mitochondrial matrix",R-HSA-192010,"[5beta-cholestan-3alpha,7alpha,12alpha-triol [cytosol]]","[5bCHOL3a,7a,12a-triol [mitochondrial matrix]]",[]
Activation of gene expression by SREBF (SREBP),Expression of Mevalonate Kinase (MVK),R-HSA-1655846,[MVK gene [nucleoplasm]],[MVK [cytosol]],"[SREBP1A,2:NF-Y:SP1:MVK gene [nucleoplasm],SREBP1A,2 dimer [nucleoplasm],SREBF1A,2 [nucleoplasm],SREBF1-1(1-490) [nucleoplasm],SREBF2(1-484) [nucleoplasm],NF-Y [nucleoplasm],NFYA [nucleoplasm],NFYB [nucleoplasm],NFYC [nucleoplasm],SP1 [nucleoplasm],MVK gene [nucleoplasm]]"
Biosynthesis of D-series resolvins,HPGD dimer oxidises RvD1 to 17(S)-oxo-RvD1 and 8-oxo-17(S)-RvD1,R-HSA-9024766,"[RvD1 [cytosol],NAD+ [cytosol]]","[17(S)-oxo-RvD1, 8-oxo-17(S)-RvD1 [cytosol],NADH [cytosol]]","[HPGD dimer [cytosol],HPGD [cytosol]]"
Cytosolic sulfonation of small molecules,"3,3'-diiodothyronine + PAPS => 3,3'-diiodothyronine 4-sulfate + PAP",R-HSA-176474,"[PAPS [cytosol],3,3'-diiodothyronine [cytosol]]","[3,3'-diiodothyronine 4-sulfate [cytosol],PAP [cytosol]]","[SULT dimers (T2) [cytosol],SULT1C1 dimer [cytosol],SULT1C2 [cytosol],SULT1A3 dimer [cytosol],SULT1A3 [cytosol],SULT1E1 dimer [cytosol],SULT1E1 [cytosol],SULT2A1 dimer [cytosol],SULT2A1 [cytosol],SULT1A1 dimer [cytosol],SULT1A1 [cytosol],SULT1B1 dimer [cytosol],SULT1B1 [cytosol],SULT6B1 dimer [cytosol],SULT6B1 [cytosol]]"
Cholesterol biosynthesis via desmosterol,"Cholesta-5,7,24-trien-3beta-ol is reduced to desmosterol",R-HSA-196402,"[H+ [cytosol],7dhDESOL [endoplasmic reticulum membrane],NADPH [cytosol]]","[NADP+ [cytosol],DESMOL [endoplasmic reticulum membrane]]",[DHCR7 [endoplasmic reticulum membrane]]
Metabolism of folate and pterines,ALDH1L1 dehydrogenates 10-formyl-THFPG to THFPG,R-HSA-6808496,"[H2O [cytosol],10-formyl-THFPG [cytosol],NADP+ [cytosol]]","[H+ [cytosol],CO2 [cytosol],NADPH [cytosol],THFPG [cytosol]]","[ALDH1L1 tetramer [cytosol],ALDH1L1 [cytosol]]"
CS/DS degradation,HEXB cleaves the terminal GalNAc from DS,R-HSA-9638075,"[H2O [lysosomal lumen],ChEBI:63516 chain [lysosomal lumen]]","[GalNAc [lysosomal lumen],IdoA-GalNAc(4S)-GlcA-Gal-Gal-Xyl [lysosomal lumen]]","[bHEXB [lysosomal lumen],HEXB(122-311) [lysosomal lumen],HEXB(315-556) [lysosomal lumen]]"
