TopLevelPathwayName,FirstLevelPathwayName,SecondLevelPathwayName,ReactionName,ReactionID
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Recruitment of AIP4 and K48 ubiquitination of MAVS/IPS-1,R-HSA-990526
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,"RNF125 mediated ubiquitination of DDX58, IFIH1 and MADS",R-HSA-936412
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Interaction of PIN1 with p-IRF3,R-HSA-936380
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,OTUD5 deubiquitinates TRAF3,R-HSA-936381
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Inhibition of DDX58/IFIH1 signaling by ATG5:ATG12:MAVS,R-HSA-936378
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Negative regulation of DDX58/IFIH1 signaling by RNF216,R-HSA-936475
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,TAX1BP1:A20 inhibit TBK1/IKKi K63-polyubiquitination,R-HSA-937337
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NLRX1 inhibits MAVS-DDX58 interaction.,R-HSA-936564
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,ISGylation of DDX58,R-HSA-936563
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,"p-T,4S-IRF3:p-T,4S-IRF3:CREBBP, EP300 binds promoters of Interferon-beta",R-HSA-1028815
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Expression of interferon-beta,R-HSA-1028812
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,"Recruitment of IRF3,IRF7",R-HSA-918232
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Dimerization of Phospho IRF3 or phospho IRF7,R-HSA-1028821
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Phosphorylation and release of IRF3/IRF7,R-HSA-918229
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Recruitment of TRAF3 to MAVS,R-HSA-918227
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,"CREBBP, EP300 binds p-T,4S-IRF3:p-T,4S-IRF3",R-HSA-1028817
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,TBK1/IKK epsilon complex interacts with MAVS bound TRAF3,R-HSA-918225
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,"Translocation of phosphorylated IRF3,IRF7 dimers into nucleus",R-HSA-1028816
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Activation of IKK by MEKK1,R-HSA-933530
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,NFkB complex is transported from cytosol to nucleus,R-HSA-168166
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Interaction of MEKK1 with TRAF6,R-HSA-933528
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Phospho-IKK Complex phosphorylates NFkB inhibitor within the NFkB inhibitor:NFkB complex,R-HSA-168140
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Processing of caspases,R-HSA-933532
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,MAVS interacts with RIPK1 and FADD,R-HSA-168934
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Recruitment of caspase-8 and -10 to FADD complex,R-HSA-933526
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,"Dimerzation of procaspase-8, procaspase-10",R-HSA-933523
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Recruitment of IKK complex,R-HSA-933539
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Expression of Interferon-alpha and beta mediated by VAF/pIRF7:CBP/p300,R-HSA-9604499
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Dimerization of p-IRF7,R-HSA-933533
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Translocation of p-IRF7:p-IRF7 to nucleus,R-HSA-933531
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Recruitment of TRAF6/TRAF2 to IPS-1,R-HSA-918230
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Recruitment of TBK1/IKK epsilon complex to TANK:TRAF6,R-HSA-933527
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Phosphorylation and release of IRF7,R-HSA-933525
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Formation of VAF (virus-activated factor) complex,R-HSA-1028820
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Recruitment of IRF7 to TRAF6,R-HSA-933538
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,VAF/pIRF7:CBP/p300 binds the promoters of type-I IFN genes,R-HSA-1028819
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,p-IRF7 dimer interacts with coactivator CBP/p300,R-HSA-933536
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Recruitment of TANK to TRAF6,R-HSA-933537
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,DDX58 is K63 polyubiquitinated,R-HSA-918224
Immune System,Innate Immune System,DDX58/IFIH1-mediated induction of interferon-alpha/beta,"viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58 bind MAVS",R-HSA-168909
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",IPAF binds procaspase-1,R-HSA-844617
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",IPAF is activated,R-HSA-874084
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",P2X7 mediates membrane pores that include pannexin-1,R-HSA-877198
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",The CARD domain of ASC recruits Procaspase-1,R-HSA-844612
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",SGT1 binds HSP90,R-HSA-874087
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",P2X7 forms oligomeric non-selective cation channels,R-HSA-877158
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",TXNIP binds reduced thioredoxin,R-HSA-1250264
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",P2X7 mediates loss of intracellular K+,R-HSA-877187
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",ASC is recruited via a PYD-PYD interaction,R-HSA-844610
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",NLRP3 activation by small molecules,R-HSA-1306876
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",SGT1:HSP90 binds inactive NLRP3,R-HSA-873951
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Expression of NLRP3 gene,R-HSA-9603905
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",TXNIP binds NLRP3,R-HSA-1250272
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",NLRP3 activation by elicitor proteins,R-HSA-844440
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",NLRP3 oligomerizes via NACHT domains,R-HSA-1296421
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",ATP binds to P2X7,R-HSA-877178
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",PSTPIP1 binds Pyrin,R-HSA-879221
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",ROS oxidize thioredoxin,R-HSA-1250280
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Pyrin binds ASC,R-HSA-877361
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",TXNIP is released from oxidized thioredoxin,R-HSA-1250253
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",NLRP1 senses MDP,R-HSA-844447
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",NLRP1 oligomerizes,R-HSA-844438
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",MDP:NLRP1 binds ATP,R-HSA-879222
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Bcl-2 and Bcl-XL bind NLRP1,R-HSA-879201
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",dsDNA:AIM2 clusters bind ASC,R-HSA-844620
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",AIM2 oligomerizes,R-HSA-874079
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",dsDNA:AIM2:ASC cluster binds procaspase-1,R-HSA-844618
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",AIM2 binds dsDNA,R-HSA-844619
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",TAK1 phosphorylates MKK6,R-HSA-727819
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",RIP2 induces K63-linked ubiquitination of NEMO,R-HSA-741386
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",TNFAIP3 (A20) deubiquitinates RIP2,R-HSA-688136
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",RIP2 is K63 polyubiquitinated,R-HSA-688137
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",TAK1 is activated,R-HSA-706479
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",RIP2 binds NEMO,R-HSA-622415
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",CYLD deubiquitinates NEMO,R-HSA-741411
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Activation of p38 MAPK,R-HSA-1247960
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Activated NOD1 oligomerizes,R-HSA-622310
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",iE-DAP elicits a NOD1 response,R-HSA-168400
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",K63 polyubiquitinated RIP2 associates with the TAK1 complex,R-HSA-688985
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",AAMP binds NOD2,R-HSA-9676160
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Activated NOD2 oligomerizes,R-HSA-708349
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Activated NOD oligomer recruites RIP2 (RICK),R-HSA-168405
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",CARD9 binds RIP2 (and NOD2),R-HSA-741395
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Activated TAK1 mediates phosphorylation of the IKK Complex,R-HSA-168184
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",NOD1 induced apoptosis is mediated by RIP2 and CARD8,R-HSA-622420
Immune System,Innate Immune System,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",MDP elicits a NOD2 response,R-HSA-168412
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of secretory granule membrane proteins,R-HSA-6798743
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of specific granule membrane proteins,R-HSA-6799350
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of azurophil granule membrane proteins,R-HSA-6798739
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of ficolin-rich granule lumen proteins,R-HSA-6800434
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of azurophil granule lumen proteins,R-HSA-6798751
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of specific granule lumen proteins,R-HSA-6798749
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of secretory granule lumen proteins,R-HSA-6798748
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of tertiary granule membrane proteins,R-HSA-6798747
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of ficolin-rich granule membrane proteins,R-HSA-6800426
Immune System,Innate Immune System,Neutrophil degranulation,Exocytosis of tertiary granule lumen proteins,R-HSA-6798745
Immune System,Innate Immune System,Complement cascade,Activation of C5,R-HSA-173680
Immune System,Innate Immune System,Complement cascade,Cleavage of C3 by C3 convertases,R-HSA-166817
Immune System,Innate Immune System,Complement cascade,Formation of classic pathway C5 convertase,R-HSA-173636
Immune System,Innate Immune System,Complement cascade,"MBL binds to repetitive carbohydrate structures on the surfaces of viruses, bacteria, fungi, and protozoa",R-HSA-166721
Immune System,Innate Immune System,Complement cascade,Activation of MASPs,R-HSA-166726
Immune System,Innate Immune System,Complement cascade,Ficolin-2 binds to molecular patterns on the target cell surface ,R-HSA-2855054
Immune System,Innate Immune System,Complement cascade,Ficolin-1 binds to molecular patterns on the target cell surface,R-HSA-2855125
Immune System,Innate Immune System,Complement cascade,Ficolin-3 binds to molecular patterns on the target cell surface ,R-HSA-2855077
Immune System,Innate Immune System,Complement cascade,CL-LK binds carbohydrates on target cell surface,R-HSA-8852509
Immune System,Innate Immune System,Complement cascade,Activation of C1r,R-HSA-173626
Immune System,Innate Immune System,Complement cascade,Activation of C1s,R-HSA-173631
Immune System,Innate Immune System,Complement cascade,Conversion of C4 into C4a and C4b,R-HSA-166753
Immune System,Innate Immune System,Complement cascade,Formation of Classical C3 convertase (C4b:C2a complex),R-HSA-166795
Immune System,Innate Immune System,Complement cascade,Conversion of C2 into C2a and C2b,R-HSA-166792
Immune System,Innate Immune System,Complement cascade,Factor D cleaves C3b-bound Factor B,R-HSA-183122
Immune System,Innate Immune System,Complement cascade,Factor D cleaves C3(H2O)-bound Factor B,R-HSA-173745
Immune System,Innate Immune System,Complement cascade,Factor B binds to surface-associated C3b,R-HSA-183126
Immune System,Innate Immune System,Complement cascade,Formation of alternative pathway C5 convertase,R-HSA-174551
Immune System,Innate Immune System,Complement cascade,C3(H2O):Factor Bb cleaves C3 to C3b and C3a,R-HSA-183130
Immune System,Innate Immune System,Complement cascade,Properdin stabilizes C3b:Bb bound to cell surfaces,R-HSA-173754
Immune System,Innate Immune System,Complement cascade,Spontaneous hydrolysis of C3 thioester,R-HSA-173739
Immune System,Innate Immune System,Complement cascade,C3b binds to cell surface,R-HSA-981539
Immune System,Innate Immune System,Complement cascade,Factor B binds to C3(H2O),R-HSA-173740
Immune System,Innate Immune System,Complement cascade,C4b binds to cell surface,R-HSA-981713
Immune System,Innate Immune System,Complement cascade,C4b binding protein displaces C2a,R-HSA-981680
Immune System,Innate Immune System,Complement cascade,C3 convertases spontaneously dissociate,R-HSA-981621
Immune System,Innate Immune System,Complement cascade,CD46 binds C4b,R-HSA-8951486
Immune System,Innate Immune System,Complement cascade,"C1-Inh binds and inactivates C1r, C1s",R-HSA-9021306
Immune System,Innate Immune System,Complement cascade,Vitronectin (VTN) binds to C5b:C6:C7,R-HSA-2530453
Immune System,Innate Immune System,Complement cascade,CD46 binds C3b,R-HSA-1006143
Immune System,Innate Immune System,Complement cascade,C4b binding protein binds Protein S,R-HSA-981665
Immune System,Innate Immune System,Complement cascade,Complement factor I complex formation,R-HSA-976801
Immune System,Innate Immune System,Complement cascade,Factor H binds to membrane-associated C3b,R-HSA-981728
Immune System,Innate Immune System,Complement cascade,"C1-Inh binds Antigen: antibody: C1 complex activated C1r, C1s",R-HSA-8852266
Immune System,Innate Immune System,Complement cascade,Hydrolysis of internal thioester in C4b,R-HSA-2855047
Immune System,Innate Immune System,Complement cascade,"Thrombin, ELANE cleave C5",R-HSA-8852716
Immune System,Innate Immune System,Complement cascade,CD59 inhibits MAC formation,R-HSA-2530445
Immune System,Innate Immune System,Complement cascade,CFHR dimers bind C3b,R-HSA-8851436
Immune System,Innate Immune System,Complement cascade,Factor I inactivates plasma Factor H-bound C3b,R-HSA-976743
Immune System,Innate Immune System,Complement cascade,C5a receptor binds C5a anaphylatoxin,R-HSA-375395
Immune System,Innate Immune System,Complement cascade,Complement factor I binds to extracellular Factor H:C3b,R-HSA-976810
Immune System,Innate Immune System,Complement cascade,"Clusterin binds C5b-C7, C8, C9",R-HSA-8852580
Immune System,Innate Immune System,Complement cascade,C3a receptor binds anaphylatoxin C3a,R-HSA-444647
Immune System,Innate Immune System,Complement cascade,C4b binding protein binds C4bC2a,R-HSA-981648
Immune System,Innate Immune System,Complement cascade,CD55 (DAF) promotes C3bBb/C4bC2a dissociation,R-HSA-977619
Immune System,Innate Immune System,Complement cascade,Factor H binds to C3bBb,R-HSA-977363
Immune System,Innate Immune System,Complement cascade,Formation of soluble VTN:C5b-C9 ,R-HSA-2530429
Immune System,Innate Immune System,Complement cascade,Factor H binds host cell surface markers,R-HSA-1006169
Immune System,Innate Immune System,Complement cascade,Factor I inactivates Factor H-boundC3b,R-HSA-977371
Immune System,Innate Immune System,Complement cascade,Complement factor I binds C4BP,R-HSA-981658
Immune System,Innate Immune System,Complement cascade,C4b-binding protein binds C4b,R-HSA-977626
Immune System,Innate Immune System,Complement cascade,Displacement of C2a/Bb by CR1,R-HSA-977629
Immune System,Innate Immune System,Complement cascade,"CD55 (DAF) binds C3bBb, C4bC2a",R-HSA-981535
Immune System,Innate Immune System,Complement cascade,CR1 binds C3bBb/C4bC2a,R-HSA-977375
Immune System,Innate Immune System,Complement cascade,"CPN, CPB2 cleave C3a, C5a",R-HSA-8852809
Immune System,Innate Immune System,Complement cascade,Factor H binds to C3b,R-HSA-976768
Immune System,Innate Immune System,Complement cascade,"CR2 binds C3d, C3dg, iC3b",R-HSA-8852874
Immune System,Innate Immune System,Complement cascade,"Complement factor I binds to MCP, CR1:C4b, C3b",R-HSA-977602
Immune System,Innate Immune System,Complement cascade,Factor I cleaves iC3b,R-HSA-3266557
Immune System,Innate Immune System,Complement cascade,Complement factor I inactivates C4BP-bound C4b,R-HSA-981637
Immune System,Innate Immune System,Complement cascade,Factor H displaces Bb,R-HSA-977605
Immune System,Innate Immune System,Complement cascade,Antigen:IgG:C1Q:2xActivated C1R:SERPING1:2xActivated C1S:SERPING1 dissociates,R-HSA-8852481
Immune System,Innate Immune System,Complement cascade,C5AR2 binds anaphylatoxins and thier desArginated derivatives,R-HSA-964811
Immune System,Innate Immune System,Complement cascade,"CR2:C3d,C3dg,iC3b binds CD19:CD81",R-HSA-8853252
Immune System,Innate Immune System,Complement cascade,Factor I inactivates MCP/CR1-bound C4b/C3b,R-HSA-977615
Immune System,Innate Immune System,Complement cascade,Complement factor I binds to membrane-associated Factor H:C3b,R-HSA-977359
Immune System,Innate Immune System,Complement cascade,C8 binds C5b:C6:C7,R-HSA-173723
Immune System,Innate Immune System,Complement cascade,C5b:C6:C7 translocates to the plasma membrane,R-HSA-173720
Immune System,Innate Immune System,Complement cascade,C5b binds C6,R-HSA-173705
Immune System,Innate Immune System,Complement cascade,C7 binds C5b:C6,R-HSA-173709
Immune System,Innate Immune System,Complement cascade,C9 binds C5b:C6:C7:C8,R-HSA-173725
Immune System,Innate Immune System,Toll-like Receptor Cascades,Full-length TLR3/7/8/9 binds to UNC93B1,R-HSA-1678921
Immune System,Innate Immune System,Toll-like Receptor Cascades,TLR processing at low pH,R-HSA-1678920
Immune System,Innate Immune System,Toll-like Receptor Cascades,TLR folding by chaperones GP96 and CNPY3,R-HSA-1678923
Immune System,Innate Immune System,Toll-like Receptor Cascades,UNC93B1 delivers endosomal full-length TLRs to endolysosome,R-HSA-1678927
Immune System,Innate Immune System,Toll-like Receptor Cascades,Folded full-length TLR7/8/9 dissociates from the GP96:CNPY3 complex ,R-HSA-1678944
Immune System,Innate Immune System,Toll-like Receptor Cascades,TLR9 processing at neutral pH,R-HSA-1678981
Immune System,Innate Immune System,Toll-like Receptor Cascades,Endosomal TLRs pass through the Golgi,R-HSA-1678998
Immune System,Innate Immune System,Toll-like Receptor Cascades,IRAK1 phosphorylates Pellino,R-HSA-937034
Immune System,Innate Immune System,Toll-like Receptor Cascades,Pellino ubiquitinates hp-IRAK1,R-HSA-937050
Immune System,Innate Immune System,Toll-like Receptor Cascades,NEMO subunit of IKK complex binds to activated IRAK1,R-HSA-937032
Immune System,Innate Immune System,Toll-like Receptor Cascades,Pellino binds hp-IRAK1:TRAF6,R-HSA-937044
Immune System,Innate Immune System,Toll-like Receptor Cascades,IRAK1/or IRAK2 binds to the activated IRAK4 :oligo MyD88:activated TLR5 or 10 complex,R-HSA-975852
Immune System,Innate Immune System,Toll-like Receptor Cascades,Multiple IRAK1 autophosphorylation within the complex p-IRAK4:oligo MyD88:activated TLR,R-HSA-975853
Immune System,Innate Immune System,Toll-like Receptor Cascades,"IKBKA, IKBKB and IKBKG form IKK complex",R-HSA-5609665
Immune System,Innate Immune System,Toll-like Receptor Cascades,NFkB complex is transported from cytosol to nucleus,R-HSA-168166
Immune System,Innate Immune System,Toll-like Receptor Cascades,NFkB inhibitor binds NFkB complex,R-HSA-9630923
Immune System,Innate Immune System,Toll-like Receptor Cascades,Activated TAK1 mediates phosphorylation of the IKK Complex,R-HSA-168184
Immune System,Innate Immune System,Toll-like Receptor Cascades,Phospho-IKK Complex phosphorylates NFkB inhibitor within the NFkB inhibitor:NFkB complex,R-HSA-168140
Immune System,Innate Immune System,Toll-like Receptor Cascades,MyD88 oligomerization within the complex of activated TLR:MyD88,R-HSA-975880
Immune System,Innate Immune System,Toll-like Receptor Cascades,First phosphorylation of IRAK1 by IRAK4 bound to MyD88:activated TLR,R-HSA-975878
Immune System,Innate Immune System,Toll-like Receptor Cascades,Dissociation of hp-IRAK1:TRAF6 or IRAK2:TRAF6-oligomer from the activated TLR5 or 10:oligo-Myd88:p-IRAK4 complex,R-HSA-975879
Immune System,Innate Immune System,Toll-like Receptor Cascades,Second phosphorylation of IRAK1 by IRAK4 bound to MyD88:activated TLR complex,R-HSA-975874
Immune System,Innate Immune System,Toll-like Receptor Cascades,IRAK4 binds to MyD88 bound to the activated TLR5 or 10 receptor,R-HSA-975873
Immune System,Innate Immune System,Toll-like Receptor Cascades,Phosphorylation of human JNKs by activated MKK4/MKK7,R-HSA-168162
Immune System,Innate Immune System,Toll-like Receptor Cascades,Activated TAK1 phosphorylates MKK4/MKK7,R-HSA-450337
Immune System,Innate Immune System,Toll-like Receptor Cascades,Activated human JNKs migrate to nucleoplasm,R-HSA-450348
Immune System,Innate Immune System,Toll-like Receptor Cascades,Nuclear export of human p38 MAPK mediated by its substrate MAPKAPK2 or 3,R-HSA-450257
Immune System,Innate Immune System,Toll-like Receptor Cascades,Active p38 MAPK phosphorylates MAPKAPK2 or 3,R-HSA-450222
Immune System,Innate Immune System,Toll-like Receptor Cascades,Activated human MKK3/MKK6 phosphorylates p38 MAPK complexed with MAPKAPK2 or MAPKAPK3,R-HSA-450333
Immune System,Innate Immune System,Toll-like Receptor Cascades,activated human TAK1 phosphorylates MKK3/MKK6,R-HSA-450346
Immune System,Innate Immune System,Toll-like Receptor Cascades,Phosphorylated MKK3/MKK6 migrates to nucleus,R-HSA-450296
Immune System,Innate Immune System,Toll-like Receptor Cascades,ERKs are inactivated by protein phosphatase 2A,R-HSA-199959
Immune System,Innate Immune System,Toll-like Receptor Cascades,ERK1/2 phosphorylates MSK1,R-HSA-198756
Immune System,Innate Immune System,Toll-like Receptor Cascades,ERK1/2 activates ELK1,R-HSA-198731
Immune System,Innate Immune System,Toll-like Receptor Cascades,ERK1/2/5 activate RSK1/2/3,R-HSA-198746
Immune System,Innate Immune System,Toll-like Receptor Cascades,ERK5 activates the transcription factor MEF2,R-HSA-199929
Immune System,Innate Immune System,Toll-like Receptor Cascades,ERKs are inactivated by dual-specific phosphatases (DUSPs),R-HSA-203797
Immune System,Innate Immune System,Toll-like Receptor Cascades,p38MAPK phosphorylates MSK1,R-HSA-198669
Immune System,Innate Immune System,Toll-like Receptor Cascades,RSK1/2/3 phosphorylates CREB at Serine 133,R-HSA-199895
Immune System,Innate Immune System,Toll-like Receptor Cascades,MSK1 activates ATF1,R-HSA-199910
Immune System,Innate Immune System,Toll-like Receptor Cascades,MSK1 activates CREB,R-HSA-199935
Immune System,Innate Immune System,Toll-like Receptor Cascades,MAPKAPK2 phosphorylates CREB at Serine 133,R-HSA-199917
Immune System,Innate Immune System,Toll-like Receptor Cascades,Formation of Activated Protein 1 (AP-1) complex. cFOS/c-JUN heterodimer. ,R-HSA-450292
Immune System,Innate Immune System,Toll-like Receptor Cascades,c-FOS activation by phospho ERK1/2,R-HSA-450325
Immune System,Innate Immune System,Toll-like Receptor Cascades,Phosphorylated MAPKs phosphorylate ATF-2,R-HSA-168053
Immune System,Innate Immune System,Toll-like Receptor Cascades,Activated JNKs phosphorylate c-JUN,R-HSA-168136
Immune System,Innate Immune System,Toll-like Receptor Cascades,Formation of Activated Protein 1 (AP-1) complex. ATF2/c-JUN heterodimer. ,R-HSA-168440
Immune System,Innate Immune System,Toll-like Receptor Cascades,MAP3K8 is phosphorylated,R-HSA-5684261
Immune System,Innate Immune System,Toll-like Receptor Cascades,"NFKB p105, TPL2 (COT) and ABIN2 form a stable complex",R-HSA-451634
Immune System,Innate Immune System,Toll-like Receptor Cascades,IKBKB phosphorylates TPL2 (MAP3K8) at Ser400,R-HSA-5684275
Immune System,Innate Immune System,Toll-like Receptor Cascades,"3xUb,p-S-NFkB p105:TPL2:ABIN2 dissociates due to degradation of p105",R-HSA-5684273
Immune System,Innate Immune System,Toll-like Receptor Cascades,"TPL2 phosphorylates MEK1, SEK1",R-HSA-451649
Immune System,Innate Immune System,Toll-like Receptor Cascades,"SCF betaTrCP ubiquitinates NFKB p105 within p-S927, S932-NFkB p105:TPL2:ABIN2 ",R-HSA-5684250
Immune System,Innate Immune System,Toll-like Receptor Cascades,IKBKB phosphorylates NFkB p105 within the NFkB p105:TPL2:ABIN2 complex,R-HSA-5684267
